target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1607.74	331	58.5483
F27C8.1	1940	1760.74	37	5.97598
F07C3.7	1728	1548.74	22	4.03968
F52H2.2	1739	1559.74	60	10.9396
T13A10.10a	1734	1554.74	11.4319	2.09105
T13A10.10b	1598	1418.74	8.56809	1.71745
C55C2.5a	1840	1660.74	7.09722	1.21531
C55C2.5b	1606	1426.74	6.90217	1.37576
C55C2.5c	1671	1491.74	0	0
C55C2.5d	1618	1438.74	0.000612115	0.000120991
T11F9.4a	1765	1585.74	0	0
T11F9.4b.1	1684	1504.74	3	0.566973
T11F9.4b.2	1784	1604.74	0	0
F54D12.3	1503	1323.74	3	0.644497
F28F9.4	1452	1272.74	2	0.446882
Y53H1C.1a	2022	1842.74	248.494	38.349
Y53H1C.1b	1958	1778.74	2.77441e-07	4.43569e-08
C50F2.9	258	89.9725	3	9.4823
C50F2.10	414	234.752	16	19.3827
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	304.74	1	0.933195
T22H6.7	646	466.74	7	4.26506
M79.1a	4081	3901.74	118.995	8.67308
M79.1b	4012	3832.74	0.00480967	0.000356869
M79.1c	3997	3817.74	0	0
C24F3.5a	4715	4535.74	0.936931	0.0587438
C24F3.5b	4726	4546.74	0.0630688	0.00394473
F12B6.1a	6670	6490.74	1.21936e-07	5.34243e-09
F12B6.1b	6559	6379.74	27	1.20355
Y39D8C.1	5545	5365.74	78	4.13397
Y53C10A.9	4724	4544.74	1	0.0625739
AC3.3	1403	1223.74	0	0
F19G12.7	1719	1539.74	0	0
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	840.74	0	0
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	994.74	0	0
C03A7.8	1317	1137.74	0	0
C03A7.14	1525	1345.74	0	0
R09F10.2	1137	957.74	0	0
F35A5.3	1271	1091.74	0	0
T01D1.6	1273	1093.74	1	0.260009
W09B12.1.1	1984	1804.74	5.32813	0.839581
W09B12.1.2	2525	2345.74	8.67187	1.05132
Y44E3A.2	1995	1815.74	11	1.72283
Y48B6A.8	2168	1988.74	2	0.285992
Y48B6A.7	1930	1750.74	2	0.324871
C42D8.5a	3282	3102.74	3.60365	0.330293
C42D8.5b	1560	1380.74	4.48513	0.923773
ZK455.1	3072	2892.74	508	49.9409
F54H12.1a	2709	2529.74	2936.95	330.158
F54H12.1b	2365	2185.74	0	0
F54H12.1c.1	2500	2320.74	7.05176	0.864119
F54H12.1c.2	2562	2382.74	0.00273796	0.000326778
K11G12.2	1888	1708.74	1	0.166428
K11G12.7	1660	1480.74	0	0
K03F8.2	1800	1620.74	4	0.701858
ZK973.5	1666	1486.74	0	0
T09A5.3	1692	1512.74	0	0
ZC504.2	1758	1578.74	2	0.360265
C40C9.2	1909	1729.74	2	0.328815
R02E12.8	1680	1500.74	1	0.189495
D2092.3	1445	1265.74	3	0.67403
R01E6.4	1926	1746.74	2	0.325615
T05C12.2	1595	1415.74	0	0
F25G6.4	1506	1326.74	3	0.64304
F25G6.3a	1797	1617.74	7	1.23053
F25G6.3b	2176	1996.74	0	0
F53E10.2a	1359	1179.74	5.06688	1.2214
F53E10.2b	1616	1436.74	2.93312	0.580569
F28F8.1	1617	1437.74	3	0.593394
C31H5.3a	1858	1678.74	2	0.338804
C31H5.3b	1841	1661.74	0	0
R06A4.10a	1702	1522.74	0.00135349	0.000252773
R06A4.10b	1693	1513.74	0.998647	0.187613
R06A4.10c	1841	1661.74	0	0
F27B3.2	1410	1230.74	0	0
F48E3.7	1435	1255.74	0	0
F59B1.9	1718	1538.74	0	0
T04C12.6.1	1264	1084.74	0	0
T04C12.6.2	1366	1186.74	172.685	41.381
T04C12.6.3	1346	1166.74	1683.84	410.421
T04C12.6.4	1277	1097.74	1997.41	517.453
T04C12.5.1	1321	1141.74	0	0
T04C12.5.2	1335	1155.74	5694.24	1401.13
T04C12.4.1	1480	1300.74	8.53273e-05	1.86552e-05
T04C12.4.2	1564	1384.74	3386.56	695.492
T04C12.4.3	1559	1379.74	1.45996e-07	3.00916e-08
M03F4.2a	1672	1492.74	1696.3	323.162
M03F4.2b.1	1599	1419.74	0	0
