pair,a_value,analysis,reads
db,0.2853981751710251,spearman,1000
de,0.2015673493927175,spearman,1000
dc,0.07016733348472548,spearman,1000
bd,0.2853981751710251,spearman,1000
be,0.45108714722032095,spearman,1000
bc,0.05215300566006288,spearman,1000
ed,0.2015673493927175,spearman,1000
eb,0.45108714722032095,spearman,1000
ec,0.0543179411170999,spearman,1000
cd,0.07016733348472548,spearman,1000
cb,0.05215300566006288,spearman,1000
ce,0.0543179411170999,spearman,1000
cg,-0.025591337946762643,spearman,1000
gc,-0.025591337946762643,spearman,1000
db,1.0,hyper_plus,1000
de,0.9999999999959053,hyper_plus,1000
dc,1.0,hyper_plus,1000
dg,0.1969147180602859,hyper_plus,1000
bd,1.0,hyper_plus,1000
be,0.9999999999842706,hyper_plus,1000
bc,1.0,hyper_plus,1000
bg,0.0048014000501674986,hyper_plus,1000
ed,0.9999999999963173,hyper_plus,1000
eb,0.9999999999853476,hyper_plus,1000
ec,1.0,hyper_plus,1000
eg,0.00029676293662260836,hyper_plus,1000
cd,1.0,hyper_plus,1000
cb,1.0,hyper_plus,1000
ce,1.0,hyper_plus,1000
cg,8.710349068270244e-15,hyper_plus,1000
gd,0.19691471806006364,hyper_plus,1000
gb,0.004801400050178244,hyper_plus,1000
ge,0.00029676293662311343,hyper_plus,1000
gc,8.710349068238565e-15,hyper_plus,1000
db,2.572002004046207e-43,hyper_minus,1000
de,1.6787259191817246e-47,hyper_minus,1000
dc,0.10082045672235909,hyper_minus,1000
dg,0.2600286549212929,hyper_minus,1000
bd,2.5720020040162936e-43,hyper_minus,1000
be,1.6475198280924108e-154,hyper_minus,1000
bc,0.04040479346386126,hyper_minus,1000
bg,0.0023034957764296884,hyper_minus,1000
ed,1.678725919191896e-47,hyper_minus,1000
eb,1.647519828101401e-154,hyper_minus,1000
ec,8.594046046641815e-07,hyper_minus,1000
eg,1.5442142386161912e-06,hyper_minus,1000
cd,0.10082045672271722,hyper_minus,1000
cb,0.04040479346370892,hyper_minus,1000
ce,8.59404604671093e-07,hyper_minus,1000
cg,0.905778313243681,hyper_minus,1000
gd,0.2600286549211454,hyper_minus,1000
gb,0.002303495776426803,hyper_minus,1000
ge,1.5442142386099696e-06,hyper_minus,1000
gc,0.9057783132436935,hyper_minus,1000
db,0.2853981751710251,spearman,1000
de,0.2015673493927175,spearman,1000
dc,0.07016733348472548,spearman,1000
bd,0.2853981751710251,spearman,1000
be,0.45108714722032095,spearman,1000
bc,0.05215300566006288,spearman,1000
ed,0.2015673493927175,spearman,1000
eb,0.45108714722032095,spearman,1000
ec,0.0543179411170999,spearman,1000
cd,0.07016733348472548,spearman,1000
cb,0.05215300566006288,spearman,1000
ce,0.0543179411170999,spearman,1000
cg,-0.025591337946762643,spearman,1000
gc,-0.025591337946762643,spearman,1000
db,1.0,hyper_plus,1000
de,0.9999999999959053,hyper_plus,1000
dc,1.0,hyper_plus,1000
dg,0.1969147180602859,hyper_plus,1000
bd,1.0,hyper_plus,1000
be,0.9999999999842706,hyper_plus,1000
bc,1.0,hyper_plus,1000
bg,0.0048014000501674986,hyper_plus,1000
ed,0.9999999999963173,hyper_plus,1000
eb,0.9999999999853476,hyper_plus,1000
ec,1.0,hyper_plus,1000
eg,0.00029676293662260836,hyper_plus,1000
cd,1.0,hyper_plus,1000
cb,1.0,hyper_plus,1000
ce,1.0,hyper_plus,1000
cg,8.710349068270244e-15,hyper_plus,1000
gd,0.19691471806006364,hyper_plus,1000
gb,0.004801400050178244,hyper_plus,1000
ge,0.00029676293662311343,hyper_plus,1000
gc,8.710349068238565e-15,hyper_plus,1000
db,2.572002004046207e-43,hyper_minus,1000
de,1.6787259191817246e-47,hyper_minus,1000
dc,0.10082045672235909,hyper_minus,1000
dg,0.2600286549212929,hyper_minus,1000
bd,2.5720020040162936e-43,hyper_minus,1000
be,1.6475198280924108e-154,hyper_minus,1000
bc,0.04040479346386126,hyper_minus,1000
bg,0.0023034957764296884,hyper_minus,1000
ed,1.678725919191896e-47,hyper_minus,1000
eb,1.647519828101401e-154,hyper_minus,1000
ec,8.594046046641815e-07,hyper_minus,1000
eg,1.5442142386161912e-06,hyper_minus,1000
cd,0.10082045672271722,hyper_minus,1000
cb,0.04040479346370892,hyper_minus,1000
ce,8.59404604671093e-07,hyper_minus,1000
cg,0.905778313243681,hyper_minus,1000
gd,0.2600286549211454,hyper_minus,1000
gb,0.002303495776426803,hyper_minus,1000
ge,1.5442142386099696e-06,hyper_minus,1000
gc,0.9057783132436935,hyper_minus,1000
