ens_gene,ext_gene,complex
WBGene00000206,asb-1,ATP synthase
WBGene00000207,asb-2,ATP synthase
WBGene00000210,asg-2,ATP synthase
WBGene00000229,atp-2,ATP synthase
WBGene00019061,F58F12.1,ATP synthase
WBGene00019880,R05D3.6,ATP synthase
WBGene00001486,frh-1,co-factor biogenesis
WBGene00013094,Y51H1A.3,Complex I
WBGene00001520,gas-1,Complex I
WBGene00003831,nuo-1,Complex I
WBGene00009992,F53F4.10,Complex I
WBGene00010015,atad-3,Complex I
WBGene00015184,djr-1.1,Complex I
WBGene00020636,T20H4.5,Complex I
WBGene00021562,nuo-5,Complex I
WBGene00009992,F53F4.10,Complex I
WBGene00020636,T20H4.5,Complex I
WBGene00021562,Y45G12B.1,Complex I
WBGene00012166,nuo-6,Complex I
WBGene00013308,nuo-3,Complex I
WBGene00019401,nuo-4,Complex I
WBGene00020417,nuo-2,Complex I
WBGene00003225,mev-1,Complex II
WBGene00015391,sdha-1,Complex II
ÊWBGene00009353,sdhd-1,Complex II
ÊWBGene00016392,sdha-2,Complex II
ÊWBGene00003225,mev-1,Complex II
ÊWBGene00006433,sdhb-1,Complex II
WBGene00002162,isp-1,Complex III
WBGene00000869,cyc-1,Complex III
WBGene00000829,ctb-1,Complex III
WBGene00010962,ctc-3,Complex IV
WBGene00010965,ctc-2,Complex IV
WBGene00012354,W09C5.8,Complex IV
WBGene00012553,cco-2,Complex IV
WBGene00000371,cco-1,Complex IV
WBGene00010964,ctc-1,Complex IV
WBGene00012895,cox-10,Complex IV
WBGene00013854,cyc-2.2,Cyt c
WBGene00017121,cyc-2.1,Cyt c
WBGene00008860,rmo-1,ROS synthesis
WBGene00050893,F58F12.1,ROS synthesis
WBGene00000536,clk-1,Ubiquinone Biosynthesis
WBGene00000761,coq-1,Ubiquinone Biosynthesis
WBGene00000762,coq-2,Ubiquinone Biosynthesis
WBGene00000763,coq-3,Ubiquinone Biosynthesis
WBGene00000764,coq-4,Ubiquinone Biosynthesis
WBGene00000765,coq-5,Ubiquinone Biosynthesis
WBGene00000766,coq-6,Ubiquinone Biosynthesis
WBGene00000767,coq-8,Ubiquinone Biosynthesis
WBGene00008410,D2023.6,Ubiquinone Biosynthesis
