target_id,ens_gene,ext_gene,b,qval
R08E5.3,WBGene00019963,R08E5.3,4.68676351302606,0.0
W07A12.7,WBGene00012324,rhy-1,2.51900696689931,5.3979876235916274e-207
C31C9.2,WBGene00007836,C31C9.2,2.78427255892793,3.214791122458439e-127
F26H9.5,WBGene00009177,F26H9.5,1.77539373712343,2.4040179766949597e-112
F01D5.1,WBGene00008492,F01D5.1,2.87448523145661,5.618899291739678e-97
F26H9.7,WBGene00006732,uev-3,1.60913034653568,4.31147674239796e-77
Y37A1B.5a,WBGene00012538,Y37A1B.5,2.67233647919875,3.1706661778287893e-75
C17G1.7,WBGene00007653,cysl-1,1.75677861051584,5.554683839720509e-70
T05B4.2,WBGene00003647,nhr-57,4.13729356267027,5.6929531252463495e-68
R02E12.2b,WBGene00019827,mop-25.1,1.48079215271822,1.8337221777402697e-63
C33A12.7,WBGene00007886,ethe-1,1.91981075069688,2.1788145390210397e-60
ZC317.7,WBGene00022590,ZC317.7,1.9688812768356,5.75678413043442e-53
VF13D12L.3,WBGene00012149,VF13D12L.3,1.57621242180247,1.6136316781988297e-51
Y47D3B.10,WBGene00001077,dpy-18,1.8824994854202801,1.6239349688984096e-51
B0218.8,WBGene00015052,clec-52,3.32212756024403,1.6099148063027097e-48
C26B9.3,WBGene00016133,C26B9.3,2.8129401561630396,2.01250095562553e-44
F35G2.4,WBGene00004025,phy-2,2.29049484757459,5.548335286814749e-43
M05D6.5b,WBGene00010878,M05D6.5,1.83057255968247,2.0174576585514599e-38
M05D6.5a,WBGene00010878,M05D6.5,1.83057255968247,2.0174576585514599e-38
C50F4.8,WBGene00008233,C50F4.8,1.65437457778577,4.2509876827395195e-36
F10D2.9,WBGene00001399,fat-7,-3.4633304153442,1.0464716660134302e-35
ZK1058.6,WBGene00014206,nit-1,3.4585921540826803,5.813896279444529e-34
W07A12.6,WBGene00012323,oac-54,4.20065140268309,8.944419828232721e-28
F27D9.5,WBGene00017864,pcca-1,0.8537835617856451,1.56603962252649e-27
Y79H2A.2a,WBGene00013579,Y79H2A.2,1.77918288989703,1.5982244303912197e-27
Y38E10A.11,WBGene00012589,nspe-4,5.27388590010722,5.63251737890642e-27
R02E12.2a,WBGene00019827,mop-25.1,2.04548580905878,3.18127423384946e-26
F49F1.7a,WBGene00018647,F49F1.7,2.95064801241754,3.4841241344214e-26
F52E4.1a.2,WBGene00018701,pccb-1,1.47394525604657,1.62272475175147e-25
K08E3.1,WBGene00010661,tyr-2,3.65198205133478,5.63313441338917e-25
T15B7.1,WBGene00020516,T15B7.1,-0.8609705366814971,1.13697595517417e-24
H40L08.2a,WBGene00014793,H40L08.2,1.2228031269305302,1.47829517734505e-23
Y73B6BL.24,WBGene00022245,acp-6,-1.5734614224060401,1.51464890269215e-23
F01D5.5,WBGene00008495,F01D5.5,2.6126696648572403,2.78817482030355e-22
F54D8.6,WBGene00018802,F54D8.6,0.786442373883239,5.23499489996823e-22
M05D6.6.3,WBGene00010879,M05D6.6,2.2461268288850897,5.6356601170658e-22
T11F9.6,WBGene00003541,nas-22,2.4391631755783196,1.4796121387825899e-21
T04A11.1,WBGene00011416,T04A11.1,1.51131214797887,1.26843113097683e-19
T04A11.4,WBGene00011419,T04A11.4,1.51131214797887,1.26843113097683e-19
R05F9.12,WBGene00019895,aagr-2,-0.7159311618594449,1.48882618860692e-19
F49F1.5a,WBGene00018645,F49F1.5,3.63189622688203,1.64026498391606e-19
