ext_gene,ens_gene,b_e,b_b,b_d,b_c,b_a,q_e,q_b,q_d,q_c,q_a
R08E5.3,WBGene00019963,4.5776663556348804,4.68676351302606,3.8049416972819303,-0.663544312840715,4.58876814697705,0.0,0.0,0.0,4.26846526319958e-10,0.0
rhy-1,WBGene00012324,1.48207625579013,2.51900696689931,1.35428296511868,0.485160652315683,2.56189665701665,9.672919633730657e-71,5.3979876235916274e-207,2.19287680658168e-58,1.70327556288616e-06,3.625384630158078e-214
F26H9.5,WBGene00009177,1.5995127589444098,1.77539373712343,0.91185052879693,-0.21907702175563398,1.90967659254073,9.709033799747218e-91,2.4040179766949597e-112,1.31393192216921e-28,0.12831646831010401,4.017608530300549e-130
C31C9.2,WBGene00007836,2.46931177224219,2.78427255892793,1.36923179815729,-0.291264280585214,2.6957457911368703,1.6883594409328897e-99,3.214791122458439e-127,1.09499566443717e-29,0.20776853117835198,2.8613617342931494e-119
uev-3,WBGene00006732,1.33031932916916,1.60913034653568,0.507809037966582,-0.202883332801373,1.7488535033811203,2.40336825313435e-52,4.31147674239796e-77,4.5666112743864403e-07,0.257972485840177,2.3865956925629796e-91
F01D5.1,WBGene00008492,1.62134349014052,2.87448523145661,2.10831709251246,1.84843386160588,2.73224463430812,2.65984493135499e-30,5.618899291739678e-97,3.6972292194059893e-51,1.11168132097102e-38,1.3259480824277896e-87
Y37A1B.5,WBGene00012538,2.5909558625465,2.67233647919875,1.4011334582801203,-0.5439564929796,2.76440487038309,1.489199415301e-70,3.1706661778287893e-75,1.128107246253e-19,0.0120835767487726,1.1556819183273899e-80
cysl-1,WBGene00007653,1.20654614573323,1.75677861051584,0.574047709937711,0.298710682094539,1.86618385671231,1.6885282767500502e-32,5.554683839720509e-70,7.182834849224859e-07,0.0779674284787116,4.2070237530236497e-79
ethe-1,WBGene00007886,1.57660325945566,1.91981075069688,1.60715421972139,-0.132237560088816,2.11691022857554,2.93670459244941e-40,2.1788145390210397e-60,1.69144358540958e-41,0.7893409927223,1.3651647078839298e-73
nhr-57,WBGene00003647,3.82155002031914,4.13729356267027,1.95596838307249,-0.252778313472085,4.0967490992562405,1.1909058398497196e-57,5.6929531252463495e-68,2.5796642027337798e-14,0.811564248968057,1.1747779413557297e-66
ftn-1,WBGene00001500,0.5547914612601911,4.6792223829658495,-1.89835026657266,3.61537058344968,4.37431012417089,0.17321654978010098,6.65011454051282e-75,1.69619867825608e-11,3.4421241550250598e-43,1.7580764434866696e-65
mop-25.1,WBGene00019827,1.0146270485949,1.48079215271822,0.31811577102668703,0.0225927699961108,1.40312270951967,2.4666271975670996e-29,1.8337221777402697e-63,0.0113760587879909,0.99509943258919,6.57451676194634e-57
ZC317.7,WBGene00022590,2.1448404038398703,1.9688812768356,1.8115691724001202,1.10718560828118,2.03458595052661,9.204530913543269e-63,5.75678413043442e-53,4.572998045131509e-44,2.70969828530686e-15,1.2001125180085298e-56
clec-52,WBGene00015052,1.53820537945034,3.32212756024403,1.65604334979025,0.18932980672827898,3.42917434763628,4.702262507253151e-10,1.6099148063027097e-48,2.6619495439221302e-11,0.8777277405794491,1.0020667086763197e-51
cyp-35A5,WBGene00019473,-1.48041673547374,-1.94946103845957,-0.9916263617462209,0.460436982699927,-3.08647691627948,1.71993657384192e-10,1.2014619109927299e-18,0.00018101738769337199,0.31848500004492797,2.81108866614911e-47
VF13D12L.3,WBGene00012149,1.5809604668797999,1.57621242180247,0.7465201220869551,-0.0464116607980529,1.49816380368709,1.2400826826673497e-51,1.6136316781988297e-51,8.452315069344058e-11,0.9746711490694359,1.8012652488733698e-46
,,0.866324277599825,1.9404693761919298,1.5730221186382198,0.488270030877433,1.9113206419905502,2.5576076160350002e-08,5.78998064508074e-43,1.7302449462105597e-27,0.0228449367229532,1.1454049374969699e-41
nit-1,WBGene00014206,3.3692820008361806,3.4585921540826803,1.50237118687394,-1.18256720767503,3.7166745407757302,4.5984809311492594e-32,5.813896279444529e-34,6.2222425932078205e-06,0.00259288179989276,2.53904500791705e-39
cat-4,WBGene00000298,-0.763863706029951,-1.42568809118952,0.7510710268311981,-0.38212846622231605,-1.5344307667874801,2.7620516248887398e-09,2.98798879876963e-33,1.3257264059418601e-08,0.0407239849508289,1.31902911256477e-38
M05D6.5,WBGene00010878,1.5481875558873799,1.83057255968247,0.591175407533687,0.12739258468416,1.7308228609276202,3.1793207729674998e-27,2.0174576585514599e-38,0.0011789385525204901,0.8604937922281569,2.52624060771351e-34
M05D6.5,WBGene00010878,1.5481875558873799,1.83057255968247,0.591175407533687,0.12739258468416,1.7308228609276202,3.1793207729674998e-27,2.0174576585514599e-38,0.0011789385525204901,0.8604937922281569,2.52624060771351e-34
C26B9.3,WBGene00016133,2.6869082874697994,2.8129401561630396,0.926133592208553,0.661395186782442,2.4686920920435,2.93670459244941e-40,2.01250095562553e-44,0.000209185835804377,0.0373456748938992,3.98289505513945e-34
pcca-1,WBGene00017864,0.472278597832942,0.8537835617856451,0.394249679223972,0.0434316746689852,0.9447805494006372,3.07781015290523e-08,1.56603962252649e-27,1.90348008007418e-05,0.947703505898737,7.7838649900285e-34
dpy-18,WBGene00001077,0.5669616449423249,1.8824994854202801,0.8474613320289001,-0.04580707379688201,1.5028551346401497,0.00011099070011860501,1.6239349688984096e-51,1.0446476861255902e-09,0.985775476386991,1.2215653604684999e-32
pcp-2,WBGene00003957,0.0146330966860464,1.67705704444146,1.01203773873701,0.523147739983882,1.74881511861485,1.0,5.37774729553532e-29,6.76834746907783e-10,0.0184840718715699,1.3525042434737197e-31
phy-2,WBGene00004025,0.8555454839176979,2.29049484757459,1.4278373945661798,-0.025386555496657998,1.95051000374886,6.76673558328639e-06,5.548335286814749e-43,6.45919830943598e-16,1.0,4.65514553268111e-31
fat-7,WBGene00001399,-3.3971707856998394,-3.4633304153442,-3.4248432575512004,0.633457253124803,-3.19570366086637,3.96610872982775e-34,1.0464716660134302e-35,2.5341670975661e-34,0.266575716389273,2.32504651189506e-30
oac-54,WBGene00012323,3.7869728926293202,4.20065140268309,3.0837247201626496,0.10228463548913401,4.28600825679525,2.4173150637741795e-22,8.944419828232721e-28,2.7700252375531396e-14,0.9933300444758041,6.043228306895629e-29
asp-8,WBGene00019105,-1.7691703759853799,-2.3588392808916803,0.64628075065539,0.601685863769209,-2.46372316145801,1.6854396272998004e-14,2.0529068178041098e-26,0.0668702960877433,0.122657600655321,7.343431550067671e-29
tyr-2,WBGene00010661,3.2290226732634104,3.65198205133478,1.2185819370970299,0.158292792599667,3.7868883203668795,3.2381409217485895e-19,5.63313441338917e-25,0.0144271748755683,0.97354808054091,7.25525058760844e-27
aagr-2,WBGene00019895,-0.523674158224872,-0.7159311618594449,-0.510615878453892,0.0602632433672517,-0.8366231276794609,3.09312201562588e-10,1.48882618860692e-19,2.22865728246869e-09,0.8899648137563729,7.667450306275379e-27
trpp-12,WBGene00016614,-0.547952903319059,-0.8464056838492958,-0.8213061287319221,0.331990842925722,-1.3272107440734,0.00014719166275713202,1.14652077137503e-10,1.9121827617114398e-09,0.134703255510261,2.5374985025443497e-26
Y79H2A.2,WBGene00013579,1.78588288830911,1.77918288989703,0.586834125723414,-0.0897155961615685,1.7076957293068502,1.4980281488537499e-27,1.5982244303912197e-27,0.0093132813659375,0.9495009808879209,2.5064065118267603e-25
nspe-4,WBGene00012589,5.0278367897070195,5.27388590010722,2.21209627624346,-0.7040536882694679,5.1081040878585195,2.6409448027366197e-24,5.63251737890642e-27,0.000226043791808925,0.645869550102948,2.70260648292951e-25
dhs-26,WBGene00000989,-3.1429012101151605,-3.25993359645965,-3.3167087385404996,0.174602798114646,-4.44180929236815,3.94893839300232e-12,2.3576110166497697e-13,3.42841509845357e-13,0.980029415440186,6.75740098973996e-25
C50F4.8,WBGene00008233,1.3508163063735903,1.65437457778577,1.16926818781224,0.0760002259181601,1.36836879424687,8.913276308818e-24,4.2509876827395195e-36,2.82603509885079e-17,0.941926607272553,1.3265036169114599e-24
F54D8.6,WBGene00018802,0.681260791578684,0.786442373883239,0.259379197757369,-0.10898502789750399,0.825951846366007,3.36619230564519e-16,5.23499489996823e-22,0.0309705302268399,0.683439041263341,2.5190086591099597e-24
D1086.3,WBGene00008390,-1.9216675771535001,-2.0484904367867403,-0.97935531566577,0.8658305354051871,-3.5706989013253496,6.88270488075576e-07,5.61852737116827e-08,0.0891569931827309,0.19009395052290698,3.5631584179262895e-24
pccb-1,WBGene00018701,1.1313266115282,1.47394525604657,0.526974156377013,0.009708734743412271,1.4288494200009099,1.14107844223136e-14,1.62272475175147e-25,0.00538916706737285,1.0,5.537619701971589e-24
F33H2.2,WBGene00009366,0.21689958997315803,0.255979127142067,0.6724175179443571,-0.0597616893510207,0.802929731169916,0.0440390808661508,0.0120747950830601,6.011319001769789e-16,0.894467858099708,9.06378251149405e-24
F08G12.1,WBGene00008585,-0.271049400449822,-0.3952042069688,-2.9899722006545697,0.005565520851318471,-3.26321247080068,0.7976475400927021,0.6296030752874079,7.173738858650329e-19,1.0,2.05617200951898e-23
M05D6.6,WBGene00010879,1.85539391216616,2.2461268288850897,0.7151946752472329,-0.18704953421629297,2.3110948035160197,1.14107844223136e-14,5.6356601170658e-22,0.0420546724406587,0.8800713130345,2.4287944896373e-23
H40L08.2,WBGene00014793,1.02069541333461,1.2228031269305302,0.8715467188719979,0.030904069127174,1.21169651523348,4.3501899344777e-16,1.47829517734505e-23,2.55681506648456e-11,0.994827118007899,3.40533456961686e-23
drd-5,WBGene00018885,-0.41592279321386,-0.5707412403076421,-0.49685324292364896,0.19101991428287302,-0.8873569551271372,4.4129111340824897e-05,1.54128665955462e-09,9.5283841016681e-07,0.308313604656385,3.88317973090776e-23
F57B9.1,WBGene00018996,0.531248437876693,0.9503700400820949,0.792826669226808,-0.120477295297482,1.0865390958732999,2.19312573164906e-05,2.98278942285056e-17,2.21422332894962e-11,0.7927528393842042,1.10910170621444e-22
cyp-34A4,WBGene00020386,-1.28715564904774,-3.27792561471564,-1.63697450577875,-0.8107934967590241,-4.10148063431834,0.0165484111630422,2.92263246412005e-14,0.00284272130536923,0.397003246496327,1.7432084804658797e-22
F49F1.7,WBGene00018647,1.34097193359494,2.95064801241754,1.80408468627148,0.47769419060524104,2.7294579302457405,2.21087957001124e-05,3.4841241344214e-26,3.6492104883350603e-09,0.503999966226549,1.96425709312016e-22
C30G12.2,WBGene00016274,-1.8591713976723,-2.30864507708709,-1.38943189056856,-0.296566403027734,-2.72974525861336,4.50410699481521e-10,7.272021597192941e-16,2.32646191164723e-05,0.8045485602712679,2.50234525996785e-22
mop-25.1,WBGene00019827,1.56442567770715,2.04548580905878,0.676994739513857,-0.0499380219955737,1.88030955309232,5.7659705604921995e-15,3.18127423384946e-26,0.0119196535409762,0.993634229678457,3.37610915394898e-22
ftn-2,WBGene00001501,0.0539816476207679,0.8979645518229971,-0.485457322015119,0.797569132389386,0.890341287597676,0.895722735378899,2.67146903501777e-22,4.60542212188798e-06,2.84486702340235e-16,5.046341092428019e-22
pccb-1,WBGene00018701,0.35173755015046,0.7120341308560508,0.25479425598329897,0.00926024363310754,0.8241765281804051,0.00048583794539075595,5.60626302272421e-16,0.0577732488639498,1.0,1.4714082616529998e-21
clec-210,WBGene00022261,1.4997786283618102,2.83301207719401,3.99226839030069,0.254355558111669,2.94486237994619,2.19932604393198e-05,3.27892438339377e-19,6.49070459319226e-38,0.8777710965564641,7.153654404777329e-21
T15B7.1,WBGene00020516,-0.876062573037241,-0.8609705366814971,-0.678889743716194,-0.5981941036958179,-0.776774085111942,2.21178392597905e-25,1.13697595517417e-24,1.24958927531577e-14,9.62679586237071e-11,4.37327991490052e-20
cyp-35A2,WBGene00015400,-1.0010359543656602,-1.02025716845343,-0.5345014165222151,0.37695743692772404,-1.58018575114509,9.29503517735726e-08,3.14028271935656e-08,0.0407143120162958,0.290352454674121,1.0587337603584699e-19
F01D5.5,WBGene00008495,1.6795008286881101,2.6126696648572403,1.93017387718052,1.44338746041102,2.43774803044358,5.21614466027166e-09,2.78817482030355e-22,1.69619867825608e-11,8.187303094143589e-06,1.96488335667163e-19
pud-3,WBGene00017501,-4.309469438355549,-5.668569559728921,-5.13012899871394,0.9913178773572591,-5.778016881029531,1.8606766147646402e-10,1.6117535345887099e-18,1.57417633011133e-14,0.5841133136744461,2.57869187423383e-19
cex-2,WBGene00023408,0.932464736592468,1.62651950146653,0.623093491423798,-0.0784104328195284,1.7631303291376001,3.42719161462684e-05,9.92176042085217e-16,0.0362067398085906,0.9814112364825541,1.4792459413894698e-18
T04A11.4,WBGene00011419,2.01476930436182,1.51131214797887,1.0346544539771099,0.531427691165239,1.4647136513423702,5.957883485661529e-35,1.26843113097683e-19,1.22326509229335e-08,0.0373456748938992,1.5962802352036198e-18
T04A11.1,WBGene00011416,2.01476930436182,1.51131214797887,1.0346544539771099,0.531427691165239,1.4647136513423702,5.957883485661529e-35,1.26843113097683e-19,1.22326509229335e-08,0.0373456748938992,1.5962802352036198e-18
F54D5.12,WBGene00010055,-0.626778865563208,-0.842379041980321,-0.58147827941737,-0.476527723261796,-0.9025424399643419,1.2401230437001202e-08,7.194633639114519e-16,4.5666112743864403e-07,0.00029061163960001,2.6530582563332004e-18
mpst-3,WBGene00010383,1.9772418480215201,2.63056971832406,1.58939558033982,0.17583435359425598,2.6355887225598598,5.47923163823908e-10,4.71726126927352e-18,3.81582165537879e-06,0.938286343121978,3.3526980759022497e-18
mpst-3,WBGene00010383,1.9772418480215201,2.63056971832406,1.58939558033982,0.17583435359425598,2.6355887225598598,5.47923163823908e-10,4.71726126927352e-18,3.81582165537879e-06,0.938286343121978,3.3526980759022497e-18
,,1.76109645564048,2.53474397098957,0.8507747348148149,0.9346346986067042,2.32748700685777,4.4249928707851896e-10,2.19930264819462e-21,0.0303836079964135,0.0157680976755666,4.40951611210787e-18
F57H12.6,WBGene00019021,3.29755700751077,3.1576864018361603,1.18952540696994,0.918661029156774,3.2950784526713996,9.285640591440609e-18,1.58795752829211e-16,0.0335296923879199,0.195796622181677,4.40951611210787e-18
clec-222,WBGene00007283,2.0033711035554203,2.4702720386263,1.79690897596477,-0.42846458660002795,2.4810700924252402,2.2100474718475e-11,1.0284959913458802e-17,8.62988263998946e-09,0.608285300322252,5.69180255288926e-18
lea-1,WBGene00002263,0.0612190247699933,1.98815333922785,1.01467491299793,0.0581036989742918,1.9264509085127,0.983076437945677,1.2014619109927299e-18,0.00017015423017481,0.993625368420768,1.3413990404777302e-17
ZC376.3,WBGene00013875,-0.346103916589477,-1.22558242553422,-1.4034276359636297,0.13949088844670002,-1.75739497950528,0.340086729404639,1.846039468221e-08,2.0077546132183898e-10,0.9145169940889591,2.2006652016648398e-17
ldh-1,WBGene00002262,0.308662648845354,0.609743802486512,0.41303052486823105,0.498370130806967,0.6928481121857131,0.00125497296374533,2.1536441804389896e-13,9.83872456728377e-06,8.34454949406041e-08,2.2006652016648398e-17
K11D12.13,WBGene00044535,1.3242341687372499,1.47731240873043,1.06723594102486,-0.270951256758586,1.62001846855409,5.865950074779979e-11,5.69815558705178e-14,8.00280341523959e-07,0.651471259447742,6.698934262345589e-17
F13H6.3,WBGene00017431,-0.863923062141972,-1.09667924937186,-0.61460893214265,0.12515479534696003,-1.3945078499913401,2.18272702310556e-06,2.1687764598381598e-10,0.00525484118770892,0.893608848118667,7.117757933259871e-17
Y105C5B.5,WBGene00013647,-0.46142038053672296,-1.0797202726611,-0.51480019712885,0.0826754764119215,-1.06731710452322,0.00231774702014296,3.5937310869430396e-17,0.00137728930265989,0.917444233420154,7.199681318820161e-17
F53F8.4,WBGene00010001,1.3120833222816002,1.5025995213833303,0.610504987557261,0.5314463682371839,1.6906019942626798,7.34522452373413e-10,3.3042530582353695e-13,0.0455019069181087,0.133064199944271,8.224741508675699e-17
ZK970.7,WBGene00014173,4.10355879972144,3.52042372731229,2.1939300881444903,0.850176860124609,4.694554313388201,2.1628597616679102e-12,2.25604946647375e-09,0.002489486535971,0.5997191247787039,1.02833186546584e-16
T22B7.7,WBGene00020674,-1.4507762295453301,-2.1356470780235703,-2.13402293875007,0.201753971587145,-2.89463343400826,0.000328620908858539,7.01113924604176e-09,2.6103646888573904e-08,0.940312821394622,2.3863860704743397e-16
K04F10.1,WBGene00019394,0.9503958206939691,1.27014029431127,0.675882775776145,0.28096779098666697,1.4909639295527801,1.70058114820999e-06,1.01874905538554e-11,0.00470636157679732,0.5800381541731371,3.15338644007242e-16
pck-1,WBGene00021043,1.96944331302784,2.7541961820341,1.6441502071099499,-0.5488626479783401,2.8226812728217703,1.04932842829089e-07,2.72219255167138e-15,4.61825314317455e-05,0.5537553064077629,3.75294792981734e-16
