ext_gene,ens_gene,target_id,b,qval
R08E5.3,WBGene00019963,R08E5.3,4.6542412813654295,0.0
F26H9.5,WBGene00009177,F26H9.5,1.71056214207203,1.9349242942090398e-120
C31C9.2,WBGene00007836,C31C9.2,2.48504986018962,5.5410991269424785e-114
cysl-2,WBGene00010759,K10H10.2.1,3.13641852236123,5.293176877955148e-98
nspe-4,WBGene00012589,Y38E10A.11,5.2396057469530195,3.748826625986759e-69
nhr-57,WBGene00003647,T05B4.2,3.90823269270868,8.54229828498644e-67
Y37A1B.5,WBGene00012538,Y37A1B.5a,2.65638028320855,1.8522484740595897e-61
ethe-1,WBGene00007886,C33A12.7,1.4963850178691,1.5544119362857498e-60
nit-1,WBGene00014206,ZK1058.6,3.31628709294298,6.157818356458719e-55
C26B9.3,WBGene00016133,C26B9.3,2.7047927385396098,2.8083432619969893e-51
VF13D12L.3,WBGene00012149,VF13D12L.3,1.56940182448708,8.015347828442628e-49
M05D6.5,WBGene00010878,M05D6.5a,1.50752064453731,3.4468938533827798e-43
M05D6.5,WBGene00010878,M05D6.5b,1.50752064453731,3.4468938533827798e-43
T25B9.8,WBGene00012014,T25B9.8,1.17673272376921,2.66508595499795e-40
oac-54,WBGene00012323,W07A12.6,3.72151792335021,1.5481127693427799e-34
cysl-1,WBGene00007653,C17G1.7,1.20189484227148,1.4055965079408797e-32
Y11D7A.10,WBGene00012434,Y11D7A.10a,1.80384042470668,2.4724505708325896e-31
uev-3,WBGene00006732,F26H9.7,1.0602626370702501,5.65378178161147e-31
T04A11.5,WBGene00011420,T04A11.5,3.0302564072788196,1.3961500258585998e-29
T04A11.2,WBGene00011417,T04A11.2,3.0302564072788196,1.3961500258585998e-29
mop-25.1,WBGene00019827,R02E12.2b,0.99707141098526,2.3903627989513695e-29
nspe-6,WBGene00012603,Y38E10A.25,7.31402887083399,3.3299395396121e-27
K11D12.13,WBGene00044535,K11D12.13,1.32278009238305,4.21596351148902e-25
ZK970.7,WBGene00014173,ZK970.7,3.92894986808827,1.2548936312346198e-23
C50F4.8,WBGene00008233,C50F4.8,1.3444632171469,8.60726114258324e-23
glb-1,WBGene00014030,ZK637.13.1,1.4092396196552899,1.14127519494364e-22
clec-222,WBGene00007283,C03E10.6,1.86142391330017,2.73919318987816e-21
mpst-3,WBGene00010383,H12D21.7b,1.8842809510047098,5.662253105426579e-21
mpst-3,WBGene00010383,H12D21.7a,1.8842809510047098,5.662253105426579e-21
tyr-2,WBGene00010661,K08E3.1,3.26828599051984,7.46354476277741e-21
F57H12.6,WBGene00019021,F57H12.6,3.30746880909268,1.7157500266734898e-20
H40L08.2,WBGene00014793,H40L08.2a,1.01262808191655,2.54809474664287e-20
F54D8.6,WBGene00018802,F54D8.6,0.7032159325545689,3.39981003972435e-20
sth-1,WBGene00006060,ZC513.12,1.92227430309816,3.64646829780397e-20
C02F12.5,WBGene00015355,C02F12.5,1.42903695153507,6.954609920279799e-20
ttr-34,WBGene00045245,F09A5.9,1.52591612848169,1.3049548136584599e-19
sqrd-1,WBGene00008538,F02H6.5a,5.25275051920839,2.76999978125393e-19
F29G6.1,WBGene00009257,F29G6.1,2.7371567693869,2.2211345931457996e-18
M02D8.6,WBGene00019732,M02D8.6,1.0527817873455099,2.59246878046148e-18
nmy-1,WBGene00003776,F52B10.1,0.8710067339039391,2.83138261782622e-18
sqrd-1,WBGene00008538,F02H6.5b,4.93794812168126,1.7677490131845898e-17
Y51H7C.13,WBGene00021791,Y51H7C.13,1.9583233881572801,4.3105640043574003e-17
col-78,WBGene00000654,W07A12.5,4.92339675046008,3.49924571717999e-16
W07A12.4,WBGene00012322,W07A12.4,2.43013456942096,5.88779274141366e-16
F17E9.4,WBGene00017541,F17E9.4,1.07870086246565,2.6218821555932604e-15
mlc-7,WBGene00023451,K08E3.10,0.9411741326189871,1.05815329437008e-14
K08F4.3,WBGene00010678,K08F4.3,0.564488051393922,1.08622761678671e-14
pitr-3,WBGene00015055,B0222.3,2.33263137453501,1.2785524734853501e-14
C10C5.3,WBGene00007507,C10C5.3,1.89893822873642,1.50155317895272e-14
mlt-10,WBGene00015646,C09E8.3,2.87019671032341,2.0482663626388803e-14
hsp-12.3,WBGene00002012,F38E11.1,1.55487724705944,2.38607748588767e-14
cpr-1,WBGene00000781,C52E4.1,1.00070155032633,2.9869769923567204e-14
F54F7.3,WBGene00010065,F54F7.3,1.59668608075387,3.27740672167644e-14
C34C12.7,WBGene00007926,C34C12.7,1.48930012885721,9.51929857745543e-14
C10C5.5,WBGene00007509,C10C5.5,2.6684245210555,9.77551651920096e-14
lpr-6,WBGene00012255,W04G3.1b.2,5.8108378295133605,3.94197695081874e-13
Y95B8A.2,WBGene00022383,Y95B8A.2,2.8870810125505204,4.629737016259179e-13
dyf-3,WBGene00001119,C04C3.5b,6.6699253039053295,1.00334473673096e-12
T22C8.6,WBGene00011927,T22C8.6,1.58063971348706,1.03304831184588e-12
C34H4.2,WBGene00016425,C34H4.2,1.7396925970463701,1.3359171193203301e-12
R03G8.6,WBGene00011000,R03G8.6,1.35826833482281,2.9874417579640003e-12
F15G9.1,WBGene00008865,F15G9.1a,1.81488746950111,5.764129291110781e-12
dnj-28,WBGene00001046,Y54E10BL.4,0.590319211154568,6.1574045904595305e-12
Y4C6A.3,WBGene00021153,Y4C6A.3,0.5696618853715141,1.1895338983169301e-11
W07G4.5,WBGene00012339,W07G4.5,0.8264548824855821,1.82604889289095e-11
fbxa-14,WBGene00022326,Y82E9BL.10,1.2939621320139498,4.72303473943393e-11
T21C9.13,WBGene00011898,T21C9.13,0.564987143519765,5.976658590203771e-11
Y49E10.4,WBGene00013030,Y49E10.4,0.5759161533144549,7.422439005709029e-11
ins-19,WBGene00002102,T10D4.13,3.55827615118285,9.318595369796559e-11
pes-8,WBGene00003981,F18G5.2,2.36888509271807,2.4987217721926004e-10
ttr-14,WBGene00011460,T05A10.3,1.84471233150105,4.39318501998123e-10
K04F10.1,WBGene00019394,K04F10.1,0.9252436592344971,6.29807138535403e-10
C14F11.4,WBGene00015780,C14F11.4a,1.4704736714729199,7.2714057181588e-10
gbh-2,WBGene00001523,M05D6.7,1.41806467824687,8.484506376466529e-10
clec-52,WBGene00015052,B0218.8,1.5376616938618899,8.92244985126446e-10
