genotype,target_id,ens_gene,ext_gene,b,se_b,qval,regulation,code
fog-2,B0024.1,WBGene00000722,col-149,1.24693458775294,0.52459371378161,0.110576888043296,candidate for direct regulation,g
hif-1,B0024.1,WBGene00000722,col-149,0.766686022681928,0.370943772382811,0.29530476664354904,candidate for direct regulation,c
vhl-1,B0024.1,WBGene00000722,col-149,0.318103263459969,0.370943772382811,0.8609589416407449,candidate for direct regulation,d
egl-9 hif-1,B0024.1,WBGene00000722,col-149,0.7553764822893398,0.370943772382811,0.399130078477525,candidate for direct regulation,f
egl-9,B0024.1,WBGene00000722,col-149,1.42406531445396,0.370943772382811,0.0020235855949546893,candidate for direct regulation,b
egl-9;vhl-1,B0024.1,WBGene00000722,col-149,1.5108664228827,0.370943772382811,0.0007252460074220339,candidate for direct regulation,a
rhy-1,B0024.1,WBGene00000722,col-149,1.0164505123209,0.370943772382811,0.0469417640506736,candidate for direct regulation,e
egl-9 hif-1,B0024.2,WBGene00000723,col-150,0.654166587289732,0.2726175188665689,0.237968099633116,candidate for direct regulation,f
vhl-1,B0024.2,WBGene00000723,col-150,0.483057137844182,0.2726175188665689,0.439030356623906,candidate for direct regulation,d
egl-9,B0024.2,WBGene00000723,col-150,2.03807749070364,0.2726175188665689,6.26780413608117e-12,candidate for direct regulation,b
egl-9;vhl-1,B0024.2,WBGene00000723,col-150,1.36330621462848,0.2726175188665689,1.5458137538488902e-05,candidate for direct regulation,a
rhy-1,B0024.2,WBGene00000723,col-150,1.25477124610697,0.2726175188665689,0.000101171731384346,candidate for direct regulation,e
hif-1,B0024.2,WBGene00000723,col-150,0.630783412046349,0.2726175188665689,0.21152604470021,candidate for direct regulation,c
fog-2,B0024.2,WBGene00000723,col-150,1.9194970691249,0.38553939252160496,1.89137476030922e-05,candidate for direct regulation,g
vhl-1,B0024.8a,WBGene00000491,che-12,2.02029333863987,0.5798681168273471,0.0147032395834166,candidate for direct regulation,d
hif-1,B0024.8a,WBGene00000491,che-12,1.81011993110174,0.5798681168273471,0.0480256680096846,candidate for direct regulation,c
fog-2,B0024.8a,WBGene00000491,che-12,0.926683916848173,0.820057355204981,0.65145293602558,candidate for direct regulation,g
egl-9 hif-1,B0024.8a,WBGene00000491,che-12,2.1631748522073897,0.5798681168273471,0.0120424197318517,candidate for direct regulation,f
egl-9,B0024.8a,WBGene00000491,che-12,4.065130873319919,0.5798681168273471,1.58664500675113e-10,candidate for direct regulation,b
egl-9;vhl-1,B0024.8a,WBGene00000491,che-12,3.91526072598821,0.5798681168273471,8.56883500147368e-10,candidate for direct regulation,a
rhy-1,B0024.8a,WBGene00000491,che-12,3.86628427057044,0.5798681168273471,2.2761936556685998e-09,candidate for direct regulation,e
egl-9;vhl-1,B0024.8b,WBGene00000491,che-12,5.4224105755785095,0.76309935643651,8.01783063929607e-11,candidate for direct regulation,a
hif-1,B0024.8b,WBGene00000491,che-12,1.9749616859101,0.76309935643651,0.13773001189901402,candidate for direct regulation,c
fog-2,B0024.8b,WBGene00000491,che-12,1.24690828278476,1.07918545931069,0.6367923517587459,candidate for direct regulation,g
egl-9,B0024.8b,WBGene00000491,che-12,5.64270491298777,0.76309935643651,1.1200277312346197e-11,candidate for direct regulation,b
vhl-1,B0024.8b,WBGene00000491,che-12,0.604309031526447,0.76309935643651,0.8804636113456209,candidate for direct regulation,d
egl-9 hif-1,B0024.8b,WBGene00000491,che-12,0.8328173790571379,0.76309935643651,0.8332849021888891,candidate for direct regulation,f
rhy-1,B0024.8b,WBGene00000491,che-12,4.96561698766783,0.76309935643651,5.9702526457516386e-09,candidate for direct regulation,e
egl-9 hif-1,B0034.1,WBGene00015002,B0034.1,-0.40050154068510296,0.309154528729526,0.757050042917884,candidate for indirect regulation,f
egl-9;vhl-1,B0034.1,WBGene00015002,B0034.1,1.48505951390242,0.309154528729526,3.85447776937252e-05,candidate for direct regulation,a
rhy-1,B0034.1,WBGene00015002,B0034.1,1.34392390133484,0.309154528729526,0.000284657487383522,candidate for direct regulation,e
vhl-1,B0034.1,WBGene00015002,B0034.1,0.129749139624797,0.309154528729526,0.971338574114716,candidate for direct regulation,d
egl-9,B0034.1,WBGene00015002,B0034.1,1.63406760022502,0.309154528729526,4.18032939691001e-06,candidate for direct regulation,b
hif-1,B0034.1,WBGene00015002,B0034.1,-0.318247690330721,0.309154528729526,0.742415865850105,candidate for indirect regulation,c
fog-2,B0034.1,WBGene00015002,B0034.1,-0.224613859798752,0.43721052739835903,0.9700413241280468,candidate for indirect regulation,g
rhy-1,B0035.13,WBGene00007112,B0035.13,-0.30591985644277697,0.0982205120424024,0.0178963853006652,candidate for indirect regulation,e
vhl-1,B0035.13,WBGene00007112,B0035.13,-0.18803260206577696,0.0982205120424023,0.368188238133253,candidate for indirect regulation,d
hif-1,B0035.13,WBGene00007112,B0035.13,0.27013111216263297,0.0982205120424024,0.103741545054353,candidate for direct regulation,c
egl-9;vhl-1,B0035.13,WBGene00007112,B0035.13,-0.524822088162424,0.0982205120424024,2.89340562867416e-06,candidate for indirect regulation,a
egl-9 hif-1,B0035.13,WBGene00007112,B0035.13,-0.0805135533346666,0.0982205120424024,0.9065048049203508,candidate for indirect regulation,f
egl-9,B0035.13,WBGene00007112,B0035.13,-0.652454985389131,0.0982205120424024,1.7859369245845105e-09,candidate for indirect regulation,b
fog-2,B0035.13,WBGene00007112,B0035.13,-0.317643596779225,0.138904780233595,0.131108405782658,candidate for indirect regulation,g
egl-9;vhl-1,B0205.11,WBGene00015025,mrpl-9,-0.3174698928343689,0.0877651150262908,0.00347022161373102,candidate for indirect regulation,a
rhy-1,B0205.11,WBGene00015025,mrpl-9,-0.455023416111758,0.0877651150262908,7.390676450983638e-06,candidate for indirect regulation,e
egl-9 hif-1,B0205.11,WBGene00015025,mrpl-9,-0.120494508500491,0.0877651150262908,0.722980035613452,candidate for indirect regulation,f
fog-2,B0205.11,WBGene00015025,mrpl-9,-0.0147682113348987,0.124118615973415,1.0,candidate for indirect regulation,g
hif-1,B0205.11,WBGene00015025,mrpl-9,-0.210042424784634,0.0877651150262908,0.18947524436447305,candidate for indirect regulation,c
egl-9,B0205.11,WBGene00015025,mrpl-9,-0.315308299314513,0.0877651150262908,0.00470834527162137,candidate for indirect regulation,b
vhl-1,B0205.11,WBGene00015025,mrpl-9,-0.294654849638328,0.0877651150262908,0.0215007643014343,candidate for indirect regulation,d
fog-2,B0213.14,WBGene00015043,cyp-34A8,0.7760972032695329,0.20031301295724105,0.0018444499426308605,candidate for direct regulation,g
egl-9,B0213.14,WBGene00015043,cyp-34A8,-0.764625855992922,0.141642689821974,2.35276377484104e-06,candidate for indirect regulation,b
egl-9;vhl-1,B0213.14,WBGene00015043,cyp-34A8,-0.961700941325314,0.141642689821974,6.70396936886023e-10,candidate for indirect regulation,a
vhl-1,B0213.14,WBGene00015043,cyp-34A8,-0.3553801846737321,0.141642689821974,0.149448212746801,candidate for indirect regulation,d
