target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1528	2888.88	44.2245
F27C8.1	1940	1681	310	4.31371
F07C3.7	1728	1469	172	2.73882
F52H2.2	1739	1480	604	9.54623
T13A10.10a	1734	1475	158	2.50566
T13A10.10b	1598	1339	0	0
C55C2.5a	1840	1581	94.5897	1.39949
C55C2.5b	1606	1347	8.41026	0.146049
C55C2.5c	1671	1412	0	0
C55C2.5d	1618	1359	0	0
T11F9.4a	1765	1506	18.5926	0.288783
T11F9.4b.1	1684	1425	27.4074	0.449894
T11F9.4b.2	1784	1525	9.88533e-07	1.51628e-08
F54D12.3	1503	1244	12	0.225641
F28F9.4	1452	1193	36	0.705861
Y53H1C.1a	2022	1763	1757.1	23.3132
Y53H1C.1b	1958	1699	254.229	3.50016
C50F2.9	258	39.8547	11	6.4561
C50F2.10	414	155.169	164	24.7228
F54B8.5	270	44.4593	0	0
Y38H6C.22	381	123.049	1	0.190098
T22H6.5	484	225.001	24	2.49508
T22H6.7	646	387	52	3.14304
M79.1a	4081	3822	703.964	4.30841
M79.1b	4012	3753	210.036	1.3091
M79.1c	3997	3738	0	0
C24F3.5a	4715	4456	15.4275	0.0809857
C24F3.5b	4726	4467	0.572463	0.0029977
F12B6.1a	6670	6411	1.77808e-08	6.48758e-11
F12B6.1b	6559	6300	242	0.898528
Y39D8C.1	5545	5286	694	3.07107
Y53C10A.9	4724	4465	35	0.18336
AC3.3	1403	1144	0	0
F19G12.7	1719	1460	1	0.0160215
F31A3.1	729	470	0	0
Y5H2A.3	1020	761	2.35525	0.0723952
Y105C5A.4	1008	749	0	0
C03A7.7	1174	915	2.75347	0.0703908
C03A7.8	1317	1058	0	0
C03A7.14	1525	1266	1.24653	0.0230318
R09F10.2	1137	878	3	0.0799252
F35A5.3	1271	1012	2	0.0462281
T01D1.6	1273	1014	6	0.138411
W09B12.1.1	1984	1725	100.664	1.36502
W09B12.1.2	2525	2266	96.3364	0.99446
Y44E3A.2	1995	1736	118	1.58997
Y48B6A.8	2168	1909	21.4525	0.262862
Y48B6A.7	1930	1671	8	0.111988
C42D8.5a	3282	3023	22.8217	0.17659
C42D8.5b	1560	1301	31.9427	0.574316
ZK455.1	3072	2813	4789	39.8228
F54H12.1a	2709	2450	24987.5	238.569
F54H12.1b	2365	2106	1.33044e-06	1.47772e-08
F54H12.1c.1	2500	2241	1115.35	11.642
F54H12.1c.2	2562	2303	76.0819	0.77276
K11G12.2	1888	1629	3	0.0430782
K11G12.7	1660	1401	7	0.116874
K03F8.2	1800	1541	39	0.591996
ZK973.5	1666	1407	1	0.016625
T09A5.3	1692	1433	2	0.0326468
ZC504.2	1758	1499	14	0.218466
C40C9.2	1909	1650	7	0.0992364
R02E12.8	1680	1421	10	0.164613
D2092.3	1445	1186	27	0.53252
R01E6.4	1926	1667	18	0.252577
T05C12.2	1595	1336	6	0.105051
F25G6.4	1506	1247	31	0.581503
F25G6.3a	1797	1538	57.2766	0.87112
F25G6.3b	2176	1917	4.72339	0.0576354
F53E10.2a	1359	1100	7.68872	0.1635
F53E10.2b	1616	1357	37.3113	0.643157
F28F8.1	1617	1358	47	0.809571
C31H5.3a	1858	1599	14	0.204803
C31H5.3b	1841	1582	0	0
R06A4.10a	1702	1443	0.00241564	3.91581e-05
R06A4.10b	1693	1434	10.3082	0.168148
R06A4.10c	1841	1582	10.6894	0.158053
F27B3.2	1410	1151	5	0.101614
F48E3.7	1435	1176	3	0.059672
F59B1.9	1718	1459	3	0.0480975
T04C12.6.1	1264	1005	5.05256e-07	1.17599e-08
T04C12.6.2	1366	1107	49.6281	1.04867
T04C12.6.3	1346	1087	10017.6	215.572
T04C12.6.4	1277	1018	27316.1	627.664
T04C12.5.1	1321	1062	0.00227043	5.00081e-05
T04C12.5.2	1335	1076	50148.9	1090.2
T04C12.4.1	1480	1221	16552	317.097
T04C12.4.2	1564	1305	10005	179.334
T04C12.4.3	1559	1300	0	0
M03F4.2a	1672	1413	128.455	2.12649
M03F4.2b.1	1599	1340	0	0
M03F4.2b.2	1603	1344	28.7075	0.499636
M03F4.2b.3	1606	1347	35265.3	612.403
M03F4.2b.4	1596	1337	28.2835	0.494833
M03F4.2b.5	1541	1282	24.9847	0.455873
M03F4.2b.6	1576	1317	0	0
M03F4.2c	1633	1374	0	0
T25C8.2.1	1343	1084	0.0401768	0.000866968
T25C8.2.2	1344	1085	7234.04	155.958
F17C8.1	4068	3809	138	0.847471
C10F3.3	3343	3084	9	0.0682629
C44F1.5	4064	3805	192	1.18033
T01C2.1	3269	3010	189	1.46876
F39C12.2a	2213	1954	0	0
F39C12.2b	2525	2266	55.4012	0.571895
F39C12.2c	2428	2169	49.5021	0.533852
F39C12.2d	2049	1790	14.0803	0.183999
F39C12.2e	2611	2352	14.0164	0.139398
F57F5.4a.1	1990	1731	365.563	4.93994
F57F5.4a.2	2032	1773	113.812	1.50153
F57F5.4b	1052	793	338.626	9.98858
C04A11.4	3227	2968	1139	8.9767
ZK154.7	2342	2083	1031	11.5778
H15N14.1c	3023	2764	1712.18	14.49
H15N14.1d	2851	2592	0	0
H15N14.1e	2794	2535	1212.14	11.1849
H15N14.1f	3119	2860	0	0
H15N14.1g	370	112.759	239.278	49.6375
T20H4.4	1697	1438	3186	51.8255
Y50D7A.7	1886	1627	2312	33.2397
C02B4.1	4802	4543	47	0.241998
F08C6.1a.1	3788	3529	0	0
F08C6.1a.2	3910	3651	0	0
F08C6.1b	1163	904	305.388	7.90206
F08C6.1c.1	3027	2768	578.235	4.88647
F08C6.1c.2	3149	2890	47.377	0.383466
D2030.10a	3221	2962	145	1.14509
D2030.10b	3222	2963	0	0
T14B1.2	1220	961	5	0.121704
C02H7.3a	4574	4315	71.0762	0.385301
C02H7.3b	4428	4169	52.9238	0.296945
F32A7.6	1780	1521	336.14	5.16949
Y87G2A.4	946	687	146	4.97111
B0334.8	3766	3507	3939.68	26.2774
F32A6.4a	2137	1878	1046.06	13.0291
F32A6.4b	2166	1907	0	0
F32A6.4c	375	117.399	48.9444	9.75209
Y62E10A.5a	598	339	678	46.7829
Y62E10A.5b.1	579	320	0	0
Y62E10A.5b.2	574	315	0	0
F09E5.13	1231	972	1458.44	35.0977
C25A1.11a	1605	1346	637.977	11.0871
C25A1.11b	1599	1340	0	0
C41G7.5a	1841	1582	0	0
C41G7.5b	1803	1544	15	0.227248
F58E10.4	1059	800	2472	72.2795
K07C11.2.1	1343	1084	6457.97	139.355
K07C11.2.2	1421	1162	1594.03	32.0883
B0207.4	1121	862	3362	91.232
C25A11.4a	4737	4478	4.25491e-08	2.22261e-10
C25A11.4b	2842	2583	433.116	3.92227
C25A11.4c	3829	3570	0	0
C25A11.4d	4614	4355	731.283	3.92784
C25A11.4e	3084	2825	534.601	4.42658
D1022.7a.1	4264	4005	1.19614	0.00698613
D1022.7a.2	4305	4046	0.70609	0.00408217
D1022.7b.1	4279	4020	5652.49	32.8905
D1022.7b.2	4317	4058	4912.61	28.3176
D1022.7c.1	1953	1694	0	0
D1022.7c.2	1991	1732	0	0
C12D8.10a	2119	1860	7820.76	98.3541
C12D8.10b	2134	1875	567.045	7.07414
C12D8.10c	1996	1737	0	0
F28H6.1a	2002	1743	815	10.9375
F28H6.1b	2381	2122	0	0
F48F7.1a	4587	4328	863.572	4.66733
F48F7.1b	4968	4709	358.428	1.78045
T07D3.7a	3247	2988	788.044	6.16917
T07D3.7b	3156	2897	2108.96	17.0285
F54D8.3a.1	1608	1349	10586.6	183.57
F54D8.3a.2	1703	1444	786.964	12.7481
F54D8.3b.1	1607	1348	34.8072	0.603998
F54D8.3b.2	1702	1443	3.43344	0.055657
F54D8.3b.3	1666	1407	0	0
F54D8.3b.4	1387	1128	1526.18	31.6485
K04F1.15	1641	1382	2	0.0338516
F36H1.6	2866	2607	2817	25.2757
T05H4.13a.1	1583	1324	1.27529e-05	2.25308e-07
T05H4.13a.2	1596	1337	1434.98	25.1056
T05H4.13b.1	1910	1651	0.00119288	1.69008e-05
T05H4.13b.2	1923	1664	3276.93	46.0649
T05H4.13c.1	1669	1410	1.83894e-05	3.05074e-07
T05H4.13c.2	1682	1423	684.093	11.2452
T08B1.3	1379	1120	311	6.4953
F56D12.1a.1	1840	1581	0.000162347	2.40198e-06
F56D12.1a.2	1936	1677	8.57018	0.11954
F56D12.1a.3	1850	1591	2669.95	39.2545
F56D12.1b.1	1542	1283	8.15303e-07	1.48645e-08
F56D12.1b.2	1638	1379	0.619846	0.0105142
F56D12.1b.3	1552	1293	678.29	12.2708
F56D12.1c.1	1823	1564	0	0
F56D12.1c.2	1919	1660	1.98676e-05	2.79958e-07
F56D12.1c.3	1833	1574	0.00353439	5.2525e-05
F56D12.1d.1	1660	1401	0	0
F56D12.1d.2	1936	1677	8.57018	0.11954
F45H10.1a.1	1748	1489	403.003	6.33098
F45H10.1a.2	1567	1308	509.026	9.1031
F45H10.1b	872	613	585.086	22.3263
F13D12.4a.1	1789	1530	16978.4	259.574
F13D12.4a.2	1828	1569	3821.92	56.9791
F13D12.4a.3	1840	1581	62	0.917311
F13D12.4b	1824	1565	159.7	2.38697
F01F1.6.1	1832	1573	6406.36	95.2663
F01F1.6.2	1952	1693	1255.64	17.3486
C54D1.4	1656	1397	286.607	4.79897
F42G9.5a	2154	1895	559.125	6.90171
F42G9.5b	1588	1329	983.875	17.317
Y69F12A.2a.1	1587	1328	1665.67	29.3391
Y69F12A.2a.2	1656	1397	931.333	15.5943
Y69F12A.2b.1	1650	1391	0	0
Y69F12A.2b.2	1719	1460	0	0
C01F6.5	772	513	714	32.5565
F23B2.6	791	532	11198	492.363
M18.7a.1	959	700	5353.09	178.881
M18.7a.2	1093	834	1226.1	34.3889
M18.7b	1139	880	606.802	16.1295
F36A4.7	6024	5765	7799	31.6444
C05E11.4	1728	1469	145	2.30889
F49E11.3	1569	1310	6	0.107136
M195.3	2360	2101	26	0.28947
C05E11.5	1883	1624	546	7.86436
R13G10.2	2642	2383	1021	10.0221
B0019.1	2357	2098	234	2.60896
F25C8.2a	1398	1139	98.1161	2.01499
F25C8.2b	1131	872	70.8839	1.90146
ZK973.6	25871	25612	3264	2.98101
C08B6.9	1240	981	5268	125.613
K06H7.6	2323	2064	3324	37.6711
F15H10.3a.1	771	512	110.626	5.05412
F15H10.3a.2	765	506	11.7877	0.544926
F15H10.3a.3	775	516	266.438	12.0782
F15H10.3b	697	438	251.645	13.4392
F15H10.3c	697	438	251.645	13.4392
F15H10.3d	770	511	256.857	11.7578
F35G12.9	565	306	1799.83	137.584
F46F3.4a	2753	2494	4302.8	40.3563
F46F3.4b	2541	2282	130.096	1.33354
F46F3.4c	1807	1548	4.20161e-08	6.34894e-10
F46F3.4d	1449	1190	1283.1	25.2215
VF36H2L.1	1107	848	1264	34.8665
ZC434.6a	2375	2116	1411.46	15.603
ZC434.6b	2381	2122	689.543	7.60104
C42D8.8a	2729	2470	2725.81	25.814
C42D8.8b	2723	2464	39.1934	0.372074
F55A12.7	1604	1345	612	10.6435
T05H10.2	1279	1020	2993	68.6378
W03G9.4.1	2097	1838	7268.84	92.5074
W03G9.4.2	2337	2078	528.158	5.94532
K04G2.8a	3894	3635	1339.36	8.61889
K04G2.8b	3900	3641	3663.64	23.5369
F02E8.3	576	317	505	37.264
Y105E8A.9	3014	2755	3878	32.9263
F29G9.3	613	354	1362	89.9976
Y71H2B.10a	3112	2853	3593.95	29.4664
Y71H2B.10b	903	644	273.269	9.92572
Y71H2B.10c	2496	2237	650.776	6.80491
T20B5.1.1	3372	3113	788.627	5.92583
T20B5.1.2	3297	3038	1571.37	12.099
W09G10.4a	4130	3871	2557.14	15.4521
W09G10.4b	3417	3158	731.86	5.42092
R11A5.1a	2926	2667	719.839	6.31349
R11A5.1b	2896	2637	3806.16	33.7624
F53H8.1	1454	1195	680	13.3106
Y48G8AL.14	638	379	1642	101.342
