target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1528	3019.17	47.4702
F27C8.1	1940	1681	113	1.61498
F07C3.7	1728	1469	136	2.2242
F52H2.2	1739	1480	469	7.61322
T13A10.10a	1734	1475	130.147	2.11982
T13A10.10b	1598	1339	78.8529	1.4148
C55C2.5a	1840	1581	82.9547	1.26057
C55C2.5b	1606	1347	25.9644	0.463092
C55C2.5c	1671	1412	12.0809	0.205552
C55C2.5d	1618	1359	0	0
T11F9.4a	1765	1506	5.72036e-05	9.12548e-07
T11F9.4b.1	1684	1425	63.25	1.06636
T11F9.4b.2	1784	1525	45.75	0.720739
F54D12.3	1503	1244	1	0.0193124
F28F9.4	1452	1193	10	0.20138
Y53H1C.1a	2022	1763	1904.36	25.951
Y53H1C.1b	1958	1699	185.327	2.62061
C50F2.9	258	39.8547	4	2.41122
C50F2.10	414	155.169	9	1.39346
F54B8.5	270	44.4593	0	0
Y38H6C.22	381	123.049	0	0
T22H6.5	484	225.001	28	2.98972
T22H6.7	646	387	23	1.42782
M79.1a	4081	3822	518.984	3.26227
M79.1b	4012	3753	181.016	1.15877
M79.1c	3997	3738	0	0
C24F3.5a	4715	4456	21.2277	0.11445
C24F3.5b	4726	4467	0.772303	0.00415364
F12B6.1a	6670	6411	57.7568	0.216438
F12B6.1b	6559	6300	193.243	0.736921
Y39D8C.1	5545	5286	650	2.95422
Y53C10A.9	4724	4465	28	0.150659
AC3.3	1403	1144	0	0
F19G12.7	1719	1460	0	0
F31A3.1	729	470	0	0
Y5H2A.3	1020	761	1.70068	0.0536901
Y105C5A.4	1008	749	0	0
C03A7.7	1174	915	0	0
C03A7.8	1317	1058	2	0.0454152
C03A7.14	1525	1266	0	0
R09F10.2	1137	878	14	0.383081
F35A5.3	1271	1012	0	0
T01D1.6	1273	1014	8	0.189544
W09B12.1.1	1984	1725	85.1553	1.18599
W09B12.1.2	2525	2266	129.845	1.37664
Y44E3A.2	1995	1736	210	2.90621
Y48B6A.8	2168	1909	28.8958	0.363652
Y48B6A.7	1930	1671	2	0.0287548
C42D8.5a	3282	3023	40.3769	0.320887
C42D8.5b	1560	1301	16.2482	0.300043
ZK455.1	3072	2813	6954	59.3912
F54H12.1a	2709	2450	24073.5	236.065
F54H12.1b	2365	2106	63.0872	0.719681
F54H12.1c.1	2500	2241	4175.56	44.7641
F54H12.1c.2	2562	2303	198.767	2.07351
K11G12.2	1888	1629	4	0.0589924
K11G12.7	1660	1401	2	0.0342964
K03F8.2	1800	1541	15	0.233855
ZK973.5	1666	1407	4	0.0683004
T09A5.3	1692	1433	5	0.0838264
ZC504.2	1758	1499	9	0.144244
C40C9.2	1909	1650	10	0.145604
R02E12.8	1680	1421	1	0.0169069
D2092.3	1445	1186	32	0.64822
R01E6.4	1926	1667	26	0.37471
T05C12.2	1595	1336	4	0.0719301
F25G6.4	1506	1247	37	0.712841
F25G6.3a	1797	1538	67	1.04659
F25G6.3b	2176	1917	0	0
F53E10.2a	1359	1100	29.391	0.641918
F53E10.2b	1616	1357	4.60896	0.0815982
F28F8.1	1617	1358	75	1.32684
C31H5.3a	1858	1599	6	0.0901488
C31H5.3b	1841	1582	0	0
R06A4.10a	1702	1443	0.00334276	5.56539e-05
R06A4.10b	1693	1434	14.9967	0.251248
R06A4.10c	1841	1582	0	0
F27B3.2	1410	1151	7	0.14611
F48E3.7	1435	1176	4	0.0817165
F59B1.9	1718	1459	1	0.0164665
T04C12.6.1	1264	1005	3.79438	0.0907051
T04C12.6.2	1366	1107	86.9513	1.88706
T04C12.6.3	1346	1087	10206.6	225.585
T04C12.6.4	1277	1018	34158.4	806.134
T04C12.5.1	1321	1062	6.09302	0.137837
T04C12.5.2	1335	1076	55541.5	1240.12
T04C12.4.1	1480	1221	17426.2	342.882
T04C12.4.2	1564	1305	8466.97	155.874
T04C12.4.3	1559	1300	0	0
M03F4.2a	1672	1413	107.045	1.82005
M03F4.2b.1	1599	1340	0	0
M03F4.2b.2	1603	1344	0	0
M03F4.2b.3	1606	1347	35778.1	638.126
M03F4.2b.4	1596	1337	0	0
M03F4.2b.5	1541	1282	25.6982	0.481584
M03F4.2b.6	1576	1317	0	0
M03F4.2c	1633	1374	0	0
T25C8.2.1	1343	1084	0.464374	0.0102919
T25C8.2.2	1344	1085	12949.1	286.727
F17C8.1	4068	3809	174	1.09748
C10F3.3	3343	3084	20	0.155802
C44F1.5	4064	3805	126	0.79556
T01C2.1	3269	3010	264	2.10715
