target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1449.21	3562	94.6219
F27C8.1	1940	1573.56	92	2.25078
F07C3.7	1728	1429.59	102	2.74675
F52H2.2	1739	1488.93	671	17.3491
T13A10.10a	1734	1402.7	10.7111	0.293967
T13A10.10b	1598	1297.29	8.28892	0.245974
C55C2.5a	1840	1777.17	79.6183	1.72469
C55C2.5b	1606	1571.16	24.3386	0.596357
C55C2.5c	1671	1623	27.887	0.661474
C55C2.5d	1618	1582.2	12.156	0.295773
T11F9.4a	1765	1420.09	0	0
T11F9.4b.1	1684	1349.4	35	0.998521
T11F9.4b.2	1784	1434.44	0	0
F54D12.3	1503	1308.87	4	0.11765
F28F9.4	1452	1287.51	29	0.867114
Y53H1C.1a	2022	1915.34	2091.01	42.0283
Y53H1C.1b	1958	1863.04	124.361	2.56975
C50F2.9	258	89.9725	9	3.8509
C50F2.10	414	235.872	1712	279.419
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	196.493	3	0.587766
T22H6.5	484	290.266	54	7.16188
T22H6.7	646	414.177	52	4.83333
M79.1a	4081	3773.26	464.846	4.74265
M79.1b	4012	3707.68	469.154	4.87127
M79.1c	3997	3682.54	1.4236e-08	1.48823e-10
C24F3.5a	4715	3852.87	17.8576	0.17843
C24F3.5b	4726	3865.79	0.142437	0.00141845
F12B6.1a	6670	6751.5	327.203	1.86572
F12B6.1b	6559	6648.33	281.797	1.63175
Y39D8C.1	5545	5660.03	464	3.15594
Y53C10A.9	4724	4144	14	0.130058
AC3.3	1403	1197.94	0	0
F19G12.7	1719	1516.47	2	0.0507722
F31A3.1	729	568.03	1	0.0677732
Y5H2A.3	1020	863.237	3	0.133789
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	994.74	0	0
C03A7.8	1317	1137.74	0	0
C03A7.14	1525	1430.04	17.8456	0.48041
R09F10.2	1137	943.406	4	0.163227
F35A5.3	1271	1220.23	10	0.315491
T01D1.6	1273	1231.32	20	0.625299
W09B12.1.1	1984	1775.65	50.0394	1.08489
W09B12.1.2	2525	2219.72	134.961	2.34066
Y44E3A.2	1995	1801.45	95	2.03017
Y48B6A.8	2168	1952.23	64	1.26205
Y48B6A.7	1930	1919.94	1	0.0200513
C42D8.5a	3282	3083.96	390.153	4.87031
C42D8.5b	1560	1332.83	0	0
ZK455.1	3072	2860.46	2335	31.4254
F54H12.1a	2709	2510.02	19039	292.01
F54H12.1b	2365	2165.15	0	0
F54H12.1c.1	2500	2316.86	6.70685e-05	1.11442e-06
F54H12.1c.2	2562	2363.61	1.99988e-07	3.25729e-09
K11G12.2	1888	1569.39	8	0.19624
K11G12.7	1660	1330.2	1	0.028941
K03F8.2	1800	1383.62	32	0.890357
ZK973.5	1666	1348.33	2	0.0571037
T09A5.3	1692	1216.02	2	0.0633169
ZC504.2	1758	1383.17	11	0.306158
C40C9.2	1909	1653.89	10	0.232767
R02E12.8	1680	1403.17	1	0.0274359
D2092.3	1445	1093.9	33	1.16136
R01E6.4	1926	1660.81	54	1.25171
T05C12.2	1595	1155.76	2	0.0666182
F25G6.4	1506	1184.03	37	1.20301
F25G6.3a	1797	1399.15	67	1.84348
F25G6.3b	2176	1714.67	0	0
F53E10.2a	1359	1168.87	0	0
F53E10.2b	1616	1413.21	26	0.708264
F28F8.1	1617	1372.82	30	0.841273
C31H5.3a	1858	1423.26	8	0.216389
C31H5.3b	1841	1396.55	0	0
R06A4.10a	1702	1511.18	0.000582324	1.48346e-05
R06A4.10b	1693	1501.59	5.79466	0.148562
R06A4.10c	1841	1664.72	10.2048	0.235988
F27B3.2	1410	1110.29	2	0.0693464
F48E3.7	1435	1097.49	4	0.14031
F59B1.9	1718	1501.56	4	0.102552
T04C12.6.1	1264	1262.85	0	0
T04C12.6.2	1366	1373.04	201.176	5.64058
T04C12.6.3	1346	1348.35	7021.23	200.466
T04C12.6.4	1277	1278.05	7591.06	228.656
T04C12.5.1	1321	1269.26	1.79985	0.05459
T04C12.5.2	1335	1287.93	32983.2	985.894
T04C12.4.1	1480	1457.4	8648.25	228.443
T04C12.4.2	1564	1544.99	12830	319.692
T04C12.4.3	1559	1539.72	0	0
M03F4.2a	1672	1712.61	2389.63	53.7157
M03F4.2b.1	1599	1617.32	0	0
M03F4.2b.2	1603	1625.62	0	0
M03F4.2b.3	1606	1630.19	16284.4	384.558
M03F4.2b.4	1596	1613.26	35.7986	0.854262
M03F4.2b.5	1541	1523.74	0	0
M03F4.2b.6	1576	1587.53	0	0
M03F4.2c	1633	1618.84	0	0
T25C8.2.1	1343	1312.51	24.4455	0.717013
T25C8.2.2	1344	1312.89	1797.03	52.6934
F17C8.1	4068	3481.45	169	1.86877
C10F3.3	3343	2905.16	11	0.145765
C44F1.5	4064	3612.47	243	2.58959
T01C2.1	3269	2729.1	202	2.84946
F39C12.2a	2213	1976.17	2.21316e-07	4.31139e-09
F39C12.2b	2525	2256.62	7.30812	0.124674
F39C12.2c	2428	2159.51	11.3684	0.202663
F39C12.2d	2049	1830.98	7.00335	0.147249
F39C12.2e	2611	2320.37	36.3201	0.602586
F57F5.4a.1	1990	1566.87	223.698	5.49615
F57F5.4a.2	2032	1608.48	99.2485	2.3754
F57F5.4b	1052	792.027	128.054	6.22417
C04A11.4	3227	3089.42	1412	17.5949
ZK154.7	2342	2100.79	677	12.4061
H15N14.1c	3023	2746.77	2428.74	34.0398
H15N14.1d	2851	2526.25	0	0
H15N14.1e	2794	2491.57	1624.36	25.098
H15N14.1f	3119	2797.62	0	0
H15N14.1g	370	193.423	73.6026	14.6492
T20H4.4	1697	1372.19	3442	96.5664
Y50D7A.7	1886	1845.43	1615	33.6903
C02B4.1	4802	4712.45	72	0.588187
F08C6.1a.1	3788	3553.61	210.743	2.28304
F08C6.1a.2	3910	3675.15	72.0717	0.754952
F08C6.1b	1163	886.125	67.6831	2.94046
F08C6.1c.1	3027	2890.37	55.2239	0.735534
F08C6.1c.2	3149	3011.91	15.2778	0.195276
D2030.10a	3221	2446.25	108.997	1.71532
D2030.10b	3222	2439.84	0.00258488	4.07857e-05
T14B1.2	1220	935.897	5	0.20567
C02H7.3a	4574	4277.47	40.286	0.362575
C02H7.3b	4428	4179.38	132.714	1.22246
F32A7.6	1780	1646.79	128.235	2.99777
Y87G2A.4	946	733.697	131	6.8736
B0334.8	3766	3394.86	3581	40.6081
F32A6.4a	2137	1966.47	992	19.4202
F32A6.4b	2166	1985.63	0	0
F32A6.4c	375	195.859	0	0
Y62E10A.5a	598	424.173	618.442	56.1287
Y62E10A.5b.1	579	404.847	0	0
Y62E10A.5b.2	574	403.87	66.5584	6.34439
F09E5.13	1231	898.173	1279.66	54.8482
C25A1.11a	1605	1246.08	687.709	21.2465
C25A1.11b	1599	1242.92	0	0
C41G7.5a	1841	1451.57	15	0.397817
C41G7.5b	1803	1412.34	0	0
F58E10.4	1059	793.929	2073	100.519
K07C11.2.1	1343	1055.66	4659.57	169.923
K07C11.2.2	1421	1139.97	2217.43	74.8836
B0207.4	1121	907.432	3313	140.552
C25A11.4a	4737	4782.84	0.078594	0.000632606
C25A11.4b	2842	2834.81	583.079	7.91832
C25A11.4c	3829	3862.73	507.194	5.05486
C25A11.4d	4614	4636.66	573.191	4.75909
C25A11.4e	3084	3050.8	674.457	8.51081
D1022.7a.1	4264	3644.05	0.245879	0.00259757
D1022.7a.2	4305	3706.88	0.293673	0.0030499
D1022.7b.1	4279	3655.16	6034.02	63.5522
D1022.7b.2	4317	3716.83	5062.44	52.4345
D1022.7c.1	1953	1625.37	0	0
D1022.7c.2	1991	1685.77	0	0
C12D8.10a	2119	1748.32	7376.49	162.427
C12D8.10b	2134	1758.86	374.039	8.18681
C12D8.10c	1996	1624.52	16.4736	0.390384
F28H6.1a	2002	1732.63	830.494	18.4527
F28H6.1b	2381	2005.39	6.50622	0.124899
F48F7.1a	4587	4435.55	786.031	6.82217
F48F7.1b	4968	4841.75	595.969	4.7386
