target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1463.2	3048	73.1129
F27C8.1	1940	1589.94	124	2.73732
F07C3.7	1728	1449.25	62	1.50152
F52H2.2	1739	1486.98	313	7.38792
T13A10.10a	1734	1403.15	34	0.85047
T13A10.10b	1598	1297.91	0	0
C55C2.5a	1840	1732.62	52	1.05338
C55C2.5b	1606	1511.03	0	0
C55C2.5c	1671	1565.49	0	0
C55C2.5d	1618	1523.04	0	0
T11F9.4a	1765	1436.91	19.0859	0.466195
T11F9.4b.1	1684	1361.62	7.91391	0.203995
T11F9.4b.2	1784	1449.46	0.000222909	5.39766e-06
F54D12.3	1503	1295.61	3	0.0812699
F28F9.4	1452	1271.66	27	0.745209
Y53H1C.1a	2022	1872.76	1420.72	26.6263
Y53H1C.1b	1958	1821.14	211.66	4.07924
C50F2.9	258	89.9725	5	1.95049
C50F2.10	414	227.043	1860	287.534
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	292.715	75	8.99291
T22H6.7	646	419.177	61	5.10759
M79.1a	4081	3786.55	435.825	4.03973
M79.1b	4012	3718.69	102.175	0.964355
M79.1c	3997	3693.45	0	0
C24F3.5a	4715	3969.37	7.88472	0.0697186
C24F3.5b	4726	3982.4	0.115284	0.00101603
F12B6.1a	6670	6695.04	128.089	0.671495
F12B6.1b	6559	6590.5	207.911	1.10724
Y39D8C.1	5545	5598.38	359	2.25069
Y53C10A.9	4724	4208.39	15	0.125101
AC3.3	1403	1190.45	3	0.0884495
F19G12.7	1719	1498.46	2	0.0468455
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	847.411	1	0.041418
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	994.74	0	0
C03A7.8	1317	1137.74	0	0
C03A7.14	1525	1411.54	4	0.0994607
R09F10.2	1137	940.371	8	0.29859
F35A5.3	1271	1091.74	0	0
T01D1.6	1273	1195.98	4	0.117387
W09B12.1.1	1984	1773.19	0	0
W09B12.1.2	2525	2241.19	104	1.62869
Y44E3A.2	1995	1786.94	48	0.942793
Y48B6A.8	2168	1959.74	17.0053	0.304559
Y48B6A.7	1930	1869.43	3	0.0563243
C42D8.5a	3282	3104.58	45.3606	0.512814
C42D8.5b	1560	1380.74	0	0
ZK455.1	3072	2873.32	1945	23.7585
F54H12.1a	2709	2531.41	19603.2	271.8
F54H12.1b	2365	2185	1.74792e-07	2.80771e-09
F54H12.1c.1	2500	2336.19	2.75841	0.0414414
F54H12.1c.2	2562	2384.27	0.0449549	0.000661766
K11G12.2	1888	1591.82	1	0.022049
K11G12.7	1660	1353.3	4	0.103741
K03F8.2	1800	1414.38	42	1.04224
ZK973.5	1666	1365.28	3	0.0771228
T09A5.3	1692	1260.6	3	0.0835271
ZC504.2	1758	1413.49	2	0.0496615
C40C9.2	1909	1667.97	21	0.441891
R02E12.8	1680	1402.85	3	0.0750573
D2092.3	1445	1122.35	31	0.96943
R01E6.4	1926	1657.12	11	0.232982
T05C12.2	1595	1202.92	5	0.145887
F25G6.4	1506	1209.23	22	0.638555
F25G6.3a	1797	1430.29	38	0.932485
F25G6.3b	2176	1748.42	0	0
F53E10.2a	1359	1166.14	13.7771	0.414661
F53E10.2b	1616	1404.27	54.2229	1.35524
F28F8.1	1617	1379.25	57	1.4505
C31H5.3a	1858	1456.04	25	0.602631
C31H5.3b	1841	1434.93	0	0
R06A4.10a	1702	1507.92	0	0
R06A4.10b	1693	1498.01	6.50258e-07	1.52354e-08
R06A4.10c	1841	1656.41	19	0.402596
F27B3.2	1410	1125.38	4	0.124751
F48E3.7	1435	1255.74	0	0
F59B1.9	1718	1483.6	2	0.0473149
T04C12.6.1	1264	1240.8	0	0
T04C12.6.2	1366	1348.3	1303.53	33.9327
T04C12.6.3	1346	1322.32	8746.88	232.167
T04C12.6.4	1277	1255.97	4250.76	118.788
T04C12.5.1	1321	1256.54	0.0020853	5.82471e-05
T04C12.5.2	1335	1275	28436.1	782.788
T04C12.4.1	1480	1434.84	0.000772921	1.89067e-05
T04C12.4.2	1564	1521.8	19305	445.243
T04C12.4.3	1559	1516.51	0.00175866	4.07025e-05
M03F4.2a	1672	1669.81	2950.49	62.0171
M03F4.2b.1	1599	1579.86	0	0
M03F4.2b.2	1603	1587.63	0	0
M03F4.2b.3	1606	1592.23	5571.97	122.825
M03F4.2b.4	1596	1577.17	0	0
M03F4.2b.5	1541	1513.29	0	0
M03F4.2b.6	1576	1551.01	0	0
M03F4.2c	1633	1608.88	24.5618	0.535821
T25C8.2.1	1343	1280.66	1.04433	0.0286212
T25C8.2.2	1344	1281.03	1167.62	31.9908
F17C8.1	4068	3520.43	134	1.33596
C10F3.3	3343	2939.3	14	0.167174
C44F1.5	4064	3638.03	120	1.15771
T01C2.1	3269	2790.75	120	1.50919
F39C12.2a	2213	1982.13	6.89135	0.122027
F39C12.2b	2525	2270.76	59.1087	0.913617
F39C12.2c	2428	2166.11	0	0
F39C12.2d	2049	1838.39	0	0
F39C12.2e	2611	2331.73	0	0
F57F5.4a.1	1990	1597.8	452.589	9.94182
F57F5.4a.2	2032	1639.5	36.248	0.775993
F57F5.4b	1052	798.502	108.163	4.75432
C04A11.4	3227	3074.59	706	8.05938
ZK154.7	2342	2114.21	697	11.5709
H15N14.1c	3023	2740.11	2483.84	31.8156
H15N14.1d	2851	2542.65	17.4662	0.241099
H15N14.1e	2794	2493.79	840.07	11.8233
H15N14.1f	3119	2788.62	0	0
H15N14.1g	370	191.927	80.813	14.7784
T20H4.4	1697	1387.62	3529	89.2618
Y50D7A.7	1886	1822.84	1253	24.126
C02B4.1	4802	4673.87	9	0.067585
F08C6.1a.1	3788	3560.8	170.016	1.67581
F08C6.1a.2	3910	3681.35	61.0576	0.582125
F08C6.1b	1163	903.528	42.8704	1.66533
F08C6.1c.1	3027	2877.97	0.0406736	0.000496032
F08C6.1c.2	3149	2998.52	0.0156529	0.000183219
D2030.10a	3221	2517.23	95	1.3246
D2030.10b	3222	2510.98	0	0
T14B1.2	1220	935.259	5	0.187638
C02H7.3a	4574	4260.24	0	0
C02H7.3b	4428	4164.91	75	0.632033
F32A7.6	1780	1629.68	161.428	3.47665
Y87G2A.4	946	727.848	60	2.89331
B0334.8	3766	3421.26	3631	37.2498
F32A6.4a	2137	1940.78	704	12.7315
F32A6.4b	2166	1961.27	0	0
F32A6.4c	375	195.859	0	0
Y62E10A.5a	598	419.52	692.664	57.9501
Y62E10A.5b.1	579	400.767	0	0
Y62E10A.5b.2	574	403.039	249.336	21.7131
F09E5.13	1231	921.462	1703.42	64.8825
C25A1.11a	1605	1267.98	622.185	17.2224
C25A1.11b	1599	1264.26	0	0
C41G7.5a	1841	1481.08	0	0
C41G7.5b	1803	1442.12	16	0.389407
F58E10.4	1059	797.629	1537	67.6327
K07C11.2.1	1343	1065.04	3540.95	116.691
K07C11.2.2	1421	1152.67	4301.05	130.964
B0207.4	1121	902.152	4229	164.529
C25A11.4a	4737	4740.93	0	0
C25A11.4b	2842	2807.06	300.666	3.75937
C25A11.4c	3829	3822.53	51.187	0.469995
C25A11.4d	4614	4600.65	198.747	1.51623
C25A11.4e	3084	3028.4	386.4	4.47825
D1022.7a.1	4264	3717.46	0.0245876	0.000232142
D1022.7a.2	4305	3776.7	0.0506537	0.000470742
D1022.7b.1	4279	3728.77	4191.48	39.4535
D1022.7b.2	4317	3786.65	6150.45	57.008
D1022.7c.1	1953	1662.19	0	0
D1022.7c.2	1991	1719.24	0	0
C12D8.10a	2119	1770.82	7685.53	152.329
C12D8.10b	2134	1784.87	474.327	9.32727
C12D8.10c	1996	1645.59	11.1395	0.23759
F28H6.1a	2002	1751.29	815.673	16.3472
F28H6.1b	2381	2039.25	6.32675	0.108891
F48F7.1a	4587	4414.99	502.32	3.99333
F48F7.1b	4968	4818.9	226.68	1.65101
T07D3.7a	3247	3438.23	1293.63	13.2056
T07D3.7b	3156	3323.95	304.375	3.21394
F54D8.3a.1	1608	1403.14	6183.23	154.668
F54D8.3a.2	1703	1490.56	2318.89	54.6029
F54D8.3b.1	1607	1403.46	0	0
F54D8.3b.2	1702	1490.88	0	0
F54D8.3b.3	1666	1434.86	1544.08	37.7698
F54D8.3b.4	1387	1177.83	453.795	13.5227
K04F1.15	1641	1462.17	6	0.144025
F36H1.6	2866	2524.79	2034	28.2755
T05H4.13a.1	1583	1379.8	3.15027e-08	8.01338e-10
T05H4.13a.2	1596	1391.04	1545.58	38.9974
T05H4.13b.1	1910	1700.53	6.9402e-06	1.43243e-07
T05H4.13b.2	1923	1711.77	3061.58	62.7747
T05H4.13c.1	1669	1463.09	3.98673e-08	9.56379e-10
T05H4.13c.2	1682	1474.33	496.842	11.8279
T08B1.3	1379	1173.14	70	2.09427
F56D12.1a.1	1840	1856.23	7.08229e-05	1.33914e-06
F56D12.1a.2	1936	1948.58	485.167	8.73891
F56D12.1a.3	1850	1865.85	1196.55	22.5081
F56D12.1b.1	1542	1531.83	1.80803e-08	4.14265e-10
F56D12.1b.2	1638	1624.18	5.11455	0.110524
F56D12.1b.3	1552	1541.45	11.9954	0.273131
F56D12.1c.1	1823	1842.58	0	0
F56D12.1c.2	1919	1934.92	0	0
F56D12.1c.3	1833	1852.2	0	0
F56D12.1d.1	1660	1650.88	0	0
F56D12.1d.2	1936	1948.58	485.167	8.73891
F45H10.1a.1	1748	1759.84	586.332	11.6938
F45H10.1a.2	1567	1589.02	390.209	8.61893
F45H10.1b	872	755.935	394.549	18.319
F13D12.4a.1	1789	1828.68	171.682	3.29512
F13D12.4a.2	1828	1868.09	6550.23	123.067
F13D12.4a.3	1840	1884.27	1846.05	34.3862
F13D12.4b	1824	1831.55	71.0341	1.36123
F01F1.6.1	1832	1635	1585.37	34.0327
F01F1.6.2	1952	1764.61	2137.63	42.5176
C54D1.4	1656	1442	247	6.01197
F42G9.5a	2154	1986.6	500.395	8.8407
F42G9.5b	1588	1391.09	606.605	15.305
Y69F12A.2a.1	1587	1316.46	189.236	5.04519
Y69F12A.2a.2	1656	1376.77	433.764	11.058
Y69F12A.2b.1	1650	1360.21	0	0
Y69F12A.2b.2	1719	1420.89	0	0
C01F6.5	772	587.372	826	49.3572
F23B2.6	791	602.958	10208	594.207
M18.7a.1	959	794.852	2847.29	125.727
M18.7a.2	1093	938.685	2277.64	85.1628
M18.7b	1139	990.204	220.066	7.80031
F36A4.7	6024	6285.05	8618	48.1262
C05E11.4	1728	1570.01	61	1.36367
F49E11.3	1569	1363.09	2	0.0514978
M195.3	2360	2021.7	35	0.607625
C05E11.5	1883	1668.46	58	1.2201
R13G10.2	2642	2233.44	688	10.8118
B0019.1	2357	2156.45	107	1.74152
F25C8.2a	1398	1031.35	71.2256	2.4239
F25C8.2b	1131	814.149	2.77438	0.119604
ZK973.6	25871	25838.9	3357	4.55996
C08B6.9	1240	964.179	5355	194.933
K06H7.6	2323	1947.33	3023	54.4857
F15H10.3a.1	771	562.905	168.561	10.5101
F15H10.3a.2	765	555.327	0	0
F15H10.3a.3	775	566.552	645.718	40.0025
F15H10.3b	697	490.084	8.18513	0.586191
F15H10.3c	697	490.084	8.18513	0.586191
F15H10.3d	770	562.21	845.35	52.7742
F35G12.9	565	346.648	1699	172.024
F46F3.4a	2753	2421.83	4600.13	66.6671
F46F3.4b	2541	2200.18	622.622	9.93229
F46F3.4c	1807	1493.74	1.36588e-08	3.20939e-10
F46F3.4d	1449	1144.02	1205.24	36.9764
VF36H2L.1	1107	844.626	1338	55.6001
ZC434.6a	2375	1896.25	1236.42	22.8852
ZC434.6b	2381	1901.51	485.578	8.96283
