target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1561.1	533	28.7636
F27C8.1	1940	1629.94	28	1.44721
F07C3.7	1728	1465.33	78	4.48441
F52H2.2	1739	1552.85	141	7.64954
T13A10.10a	1734	1551.29	79	4.29022
T13A10.10b	1598	1423.95	0	0
C55C2.5a	1840	1682.51	145.119	7.26629
C55C2.5b	1606	1479.33	8.24494	0.469534
C55C2.5c	1671	1544.35	12.6359	0.689295
C55C2.5d	1618	1483.49	0	0
T11F9.4a	1765	1510.13	0	0
T11F9.4b.1	1684	1430.54	96	5.6535
T11F9.4b.2	1784	1535.26	0	0
F54D12.3	1503	1323.74	0	0
F28F9.4	1452	1243.31	1	0.0677589
Y53H1C.1a	2022	1702.01	143.419	7.0989
Y53H1C.1b	1958	1646.9	0	0
C50F2.9	258	89.9725	1	0.936343
C50F2.10	414	218.535	6	2.313
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	4	1.66966
T22H6.5	484	278.361	130	39.3442
T22H6.7	646	462.964	132	24.0199
M79.1a	4081	3838.58	0	0
M79.1b	4012	3759.6	133.913	3.00073
M79.1c	3997	3731.84	52.0868	1.17584
C24F3.5a	4715	4231.94	60.9505	1.21334
C24F3.5b	4726	4246.56	19.0495	0.377911
F12B6.1a	6670	6565.83	8.45559e-08	1.08492e-09
F12B6.1b	6559	6455.81	235	3.06664
Y39D8C.1	5545	5510.11	292	4.46444
Y53C10A.9	4724	4398.29	62	1.18755
AC3.3	1403	1372.7	799.712	49.08
F19G12.7	1719	1539.74	0	0
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	913.622	17.4942	1.61315
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	1156.91	194.156	14.1383
C03A7.8	1317	1327.56	557.921	35.4049
C03A7.14	1525	1519.47	1350.51	74.8773
R09F10.2	1137	1044.58	188.769	15.2241
F35A5.3	1271	1175.44	867	62.1391
T01D1.6	1273	1224.63	339	23.3207
W09B12.1.1	1984	1746.31	0	0
W09B12.1.2	2525	2230.43	42	1.58638
Y44E3A.2	1995	1815.74	0	0
Y48B6A.8	2168	1984.16	11.7891	0.500553
Y48B6A.7	1930	1663.29	4	0.202599
C42D8.5a	3282	3073.28	22.8423	0.626156
C42D8.5b	1560	1324.22	29.842	1.89851
ZK455.1	3072	2864.45	2322	68.2913
F54H12.1a	2709	2535.47	40.2155	1.33622
F54H12.1b	2365	2188.74	693.003	26.6738
