target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1433.47	3706	73.5188
F27C8.1	1940	1551.55	359	6.57977
F07C3.7	1728	1418.14	134	2.687
F52H2.2	1739	1466.73	695	13.4746
T13A10.10a	1734	1386.18	67.3431	1.38152
T13A10.10b	1598	1283.26	13.6569	0.302635
C55C2.5a	1840	1756.45	110.428	1.78782
C55C2.5b	1606	1556.12	0	0
C55C2.5c	1671	1589.91	0	0
C55C2.5d	1618	1567.5	0.57238	0.0103839
T11F9.4a	1765	1406.95	0	0
T11F9.4b.1	1684	1334.55	0	0
T11F9.4b.2	1784	1421.47	23	0.460122
F54D12.3	1503	1295.53	2	0.0439002
F28F9.4	1452	1276.65	16	0.356395
Y53H1C.1a	2022	1886.52	2531.78	38.1635
Y53H1C.1b	1958	1836.34	433.392	6.71134
C50F2.9	258	89.9725	9	2.84456
C50F2.10	414	232.524	287	35.0992
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	285.758	42	4.17958
T22H6.7	646	413.241	19	1.30747
M79.1a	4081	3734.57	707.421	5.38666
M79.1b	4012	3668.86	601.579	4.66277
M79.1c	3997	3644.62	0	0
C24F3.5a	4715	3811.32	15.449	0.115268
C24F3.5b	4726	3824.39	7.551	0.0561468
F12B6.1a	6670	6701.6	385.997	1.6379
F12B6.1b	6559	6599.26	0.00305998	1.31858e-05
Y39D8C.1	5545	5618.41	720	3.6442
Y53C10A.9	4724	4107.25	25	0.17309
AC3.3	1403	1203.33	4	0.0945273
F19G12.7	1719	1519.66	3	0.0561382
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	860.163	5	0.1653
Y105C5A.4	1008	809.686	0.000212644	7.46827e-06
C03A7.7	1174	1040.7	0	0
C03A7.8	1317	1224.5	4.18939	0.0972917
C03A7.14	1525	1429.36	1.81061	0.0360218
R09F10.2	1137	942.66	7	0.211167
F35A5.3	1271	1091.74	0	0
T01D1.6	1273	1222.57	6	0.139559
W09B12.1.1	1984	1759.13	52.7715	0.853067
W09B12.1.2	2525	2194.46	151.229	1.95969
