target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1528	2879.06	45.2118
F27C8.1	1940	1681	170	2.42664
F07C3.7	1728	1469	81	1.32309
F52H2.2	1739	1480	556	9.01442
T13A10.10a	1734	1475	204	3.31866
T13A10.10b	1598	1339	0	0
C55C2.5a	1840	1581	0	0
C55C2.5b	1606	1347	20.1867	0.359601
C55C2.5c	1671	1412	10.7191	0.182158
C55C2.5d	1618	1359	22.0942	0.390107
T11F9.4a	1765	1506	0	0
T11F9.4b.1	1684	1425	140.25	2.36163
T11F9.4b.2	1784	1525	45.7499	0.719855
F54D12.3	1503	1244	3	0.0578663
F28F9.4	1452	1193	28	0.563174
Y53H1C.1a	2022	1763	1697.44	23.1029
Y53H1C.1b	1958	1699	137.02	1.93515
C50F2.9	258	47.8294	5	2.50841
C50F2.10	414	155.872	142	21.8597
F54B8.5	270	52.3925	0	0
Y38H6C.22	381	125.146	0	0
T22H6.5	484	225.02	2	0.213272
T22H6.7	646	386.998	4	0.248013
M79.1a	4081	3822	331.486	2.08113
M79.1b	4012	3753	320.514	2.04924
M79.1c	3997	3738	0	0
C24F3.5a	4715	4456	4.81106	0.0259072
C24F3.5b	4726	4467	0.188938	0.00101491
F12B6.1a	6670	6411	57.7567	0.216173
F12B6.1b	6559	6300	115.243	0.438934
Y39D8C.1	5545	5286	563	2.55567
Y53C10A.9	4724	4465	9	0.0483666
AC3.3	1403	1144	0	0
F19G12.7	1719	1460	0	0
F31A3.1	729	469.998	0	0
Y5H2A.3	1020	760.998	1	0.0315312
Y105C5A.4	1008	748.998	0	0
C03A7.7	1174	914.998	1	0.0262243
C03A7.8	1317	1058	0	0
C03A7.14	1525	1266	0	0
R09F10.2	1137	877.998	5.79072	0.158257
F35A5.3	1271	1012	0	0
T01D1.6	1273	1014	8	0.189311
W09B12.1.1	1984	1725	70.0815	0.974852
W09B12.1.2	2525	2266	175.919	1.86284
Y44E3A.2	1995	1736	112	1.54808
Y48B6A.8	2168	1909	21.3797	0.268732
Y48B6A.7	1930	1671	0	0
C42D8.5a	3282	3023	43.8879	0.348362
C42D8.5b	1560	1301	22.7065	0.418792
ZK455.1	3072	2813	4549	38.8035
F54H12.1a	2709	2450	16624.4	162.819
F54H12.1b	2365	2106	76.0422	0.866405
F54H12.1c.1	2500	2241	3329.16	35.6465
F54H12.1c.2	2562	2303	106.307	1.10763
K11G12.2	1888	1629	0	0
K11G12.7	1660	1401	5	0.085636
K03F8.2	1800	1541	23	0.358137
ZK973.5	1666	1407	1	0.0170542
T09A5.3	1692	1433	3	0.0502342
ZC504.2	1758	1499	8	0.12806
C40C9.2	1909	1650	9	0.130883
R02E12.8	1680	1421	4	0.0675446
D2092.3	1445	1186	42	0.849746
R01E6.4	1926	1667	15	0.215914
T05C12.2	1595	1336	2	0.035921
F25G6.4	1506	1247	22	0.423332
F25G6.3a	1797	1538	48	0.748875
F25G6.3b	2176	1917	0	0
F53E10.2a	1359	1100	18.624	0.40626
F53E10.2b	1616	1357	9.37605	0.165792
F28F8.1	1617	1358	53	0.936485
C31H5.3a	1858	1599	4.82189e-06	7.23592e-08
C31H5.3b	1841	1582	6	0.0910058
R06A4.10a	1702	1443	0.00189373	3.14903e-05
R06A4.10b	1693	1434	6.99811	0.1171
R06A4.10c	1841	1582	0	0
F27B3.2	1410	1151	5	0.104236
F48E3.7	1435	1176	0	0
F59B1.9	1718	1459	1	0.0164463
T04C12.6.1	1264	1005	0.0507701	0.00121218
T04C12.6.2	1366	1107	0	0
T04C12.6.3	1346	1087	6788.69	149.858
T04C12.6.4	1277	1018	20833.1	491.056
T04C12.5.1	1321	1062	13.3807	0.302329
T04C12.5.2	1335	1076	44842.4	1000
T04C12.4.1	1480	1221	11735.2	230.621
T04C12.4.2	1564	1305	5142.31	94.5524
T04C12.4.3	1559	1300	0	0
M03F4.2a	1672	1413	42.8181	0.727127
M03F4.2b.1	1599	1340	0	0
M03F4.2b.2	1603	1344	0	0
M03F4.2b.3	1606	1347	31061.3	553.32
M03F4.2b.4	1596	1337	0	0
M03F4.2b.5	1541	1282	36.6434	0.685856
M03F4.2b.6	1576	1317	0	0
M03F4.2c	1633	1374	11.855	0.207034
T25C8.2.1	1343	1084	0.729008	0.0161372
T25C8.2.2	1344	1085	12887.6	285.015
F17C8.1	4068	3809	143	0.900843
C10F3.3	3343	3084	13	0.101147
C44F1.5	4064	3805	139	0.876565
T01C2.1	3269	3010	328	2.61476
F39C12.2a	2213	1954	0	0
F39C12.2b	2525	2266	133.294	1.41148
F39C12.2c	2428	2169	0	0
F39C12.2d	2049	1790	15.706	0.210541
F39C12.2e	2611	2352	0	0
F57F5.4a.1	1990	1731	247.285	3.42788
F57F5.4a.2	2032	1773	126.643	1.71394
F57F5.4b	1052	792.998	262.072	7.92998
C04A11.4	3227	2968	887	7.17107
ZK154.7	2342	2083	878	10.1142
H15N14.1c	3023	2764	1775.65	15.415
H15N14.1d	2851	2592	0	0
H15N14.1e	2794	2535	711.405	6.73385
H15N14.1f	3119	2860	0	0
H15N14.1g	370	115.538	191.083	39.6848
T20H4.4	1697	1438	3078	51.3611
Y50D7A.7	1886	1627	3130	46.1616
C02B4.1	4802	4543	8	0.0422543
F08C6.1a.1	3788	3529	0	0
F08C6.1a.2	3910	3651	0	0
F08C6.1b	1163	903.998	136.936	3.63474
F08C6.1c.1	3027	2768	310.687	2.69328
F08C6.1c.2	3149	2890	47.377	0.393364
D2030.10a	3221	2962	283	2.29259
D2030.10b	3222	2963	0	0
T14B1.2	1220	960.998	10	0.24969
C02H7.3a	4574	4315	12.7183	0.0707251
C02H7.3b	4428	4169	86.2817	0.496605
F32A7.6	1780	1521	446.102	7.03767
Y87G2A.4	946	686.998	209	7.29986
B0334.8	3766	3507	3362.99	23.0099
F32A6.4a	2137	1878	954.946	12.2013
F32A6.4b	2166	1907	0	0
F32A6.4c	375	119.856	36.0544	7.21812
Y62E10A.5a	598	338.998	695	49.1939
Y62E10A.5b.1	579	319.998	0	0
Y62E10A.5b.2	574	314.998	0	0
F09E5.13	1231	971.998	1150.1	28.3918
C25A1.11a	1605	1346	761.831	13.5812
C25A1.11b	1599	1340	0	0
C41G7.5a	1841	1582	0	0
C41G7.5b	1803	1544	8	0.124327
F58E10.4	1059	799.998	3917	117.487
K07C11.2.1	1343	1084	6269.1	138.772
K07C11.2.2	1421	1162	1176.9	24.3028
B0207.4	1121	861.998	2834	78.8892
C25A11.4a	4737	4478	0	0
C25A11.4b	2842	2583	700.903	6.51115
C25A11.4c	3829	3570	0	0
C25A11.4d	4614	4355	413.348	2.27747
C25A11.4e	3084	2825	413.749	3.51433
D1022.7a.1	4264	4005	115.336	0.691012
D1022.7a.2	4305	4046	72.3457	0.429053
D1022.7b.1	4279	4020	4841.33	28.8977
D1022.7b.2	4317	4058	3450.99	20.4059
D1022.7c.1	1953	1694	0	0
D1022.7c.2	1991	1732	0	0
C12D8.10a	2119	1860	6913.04	89.1826
C12D8.10b	2134	1875	307.032	3.92923
C12D8.10c	1996	1737	22.2715	0.307663
F28H6.1a	2002	1743	621	8.54907
F28H6.1b	2381	2122	0	0
F48F7.1a	4587	4328	674.809	3.74126
F48F7.1b	4968	4709	247.191	1.25959
T07D3.7a	3247	2988	262.681	2.10947
T07D3.7b	3156	2897	1856.32	15.3755
F54D8.3a.1	1608	1349	10699	190.308
F54D8.3a.2	1703	1444	942.399	15.66
F54D8.3b.1	1607	1348	0	0
F54D8.3b.2	1702	1443	0	0
F54D8.3b.3	1666	1407	0	0
F54D8.3b.4	1387	1128	1976.59	42.0468
K04F1.15	1641	1382	1	0.0173627
F36H1.6	2866	2607	3176	29.2324
T05H4.13a.1	1583	1324	0.0283619	0.000514011
T05H4.13a.2	1596	1337	1442.72	25.8926
T05H4.13b.1	1910	1651	0.572147	0.00831543
T05H4.13b.2	1923	1664	3325.81	47.9589
T05H4.13c.1	1669	1410	0.0231433	0.00039385
T05H4.13c.2	1682	1423	622.845	10.5027
T08B1.3	1379	1120	314	6.72723
F56D12.1a.1	1840	1581	1.61764e-05	2.45513e-07
F56D12.1a.2	1936	1677	0	0
F56D12.1a.3	1850	1591	1522.22	22.9578
F56D12.1b.1	1542	1283	7.46268e-08	1.3957e-09
F56D12.1b.2	1638	1379	0	0
F56D12.1b.3	1552	1293	531.724	9.86762
F56D12.1c.1	1823	1564	2.46234e-06	3.77778e-08
F56D12.1c.2	1919	1660	0	0
F56D12.1c.3	1833	1574	295.058	4.49808
F56D12.1d.1	1660	1401	0	0
F56D12.1d.2	1936	1677	0	0
F45H10.1a.1	1748	1489	2.90706	0.0468472
F45H10.1a.2	1567	1308	385.046	7.06366
F45H10.1b	872	612.998	280.762	10.9902
F13D12.4a.1	1789	1530	24170.6	379.07
F13D12.4a.2	1828	1569	5390.92	82.445
F13D12.4a.3	1840	1581	0	0
F13D12.4b	1824	1565	196.532	3.01331
F01F1.6.1	1832	1573	5096.37	77.7421
F01F1.6.2	1952	1693	733.632	10.3979
C54D1.4	1656	1397	597.811	10.2681
F42G9.5a	2154	1895	796.837	10.0898
F42G9.5b	1588	1329	611.163	11.0346
Y69F12A.2a.1	1587	1328	1625.46	29.37
Y69F12A.2a.2	1656	1397	342.144	5.87675
Y69F12A.2b.1	1650	1391	8.25605	0.14242
Y69F12A.2b.2	1719	1460	2.13622	0.035109
C01F6.5	772	512.998	558	26.1001
F23B2.6	791	531.998	10388	468.539
M18.7a.1	959	699.998	4112.83	140.983
M18.7a.2	1093	833.998	628.61	18.0859
M18.7b	1139	879.998	827.561	22.5653
F36A4.7	6024	5765	4176	17.3814
C05E11.4	1728	1469	52	0.849388
F49E11.3	1569	1310	0	0
M195.3	2360	2101	32	0.365467
C05E11.5	1883	1624	679	10.0325
R13G10.2	2642	2383	711	7.15929
B0019.1	2357	2098	304	3.4769
F25C8.2a	1398	1139	142	2.9915
F25C8.2b	1131	871.998	0	0
ZK973.6	25871	25612	697	0.653
C08B6.9	1240	980.998	5143	125.798
K06H7.6	2323	2064	3245	37.725
F15H10.3a.1	771	511.998	81.0214	3.79713
F15H10.3a.2	765	505.998	0	0
F15H10.3a.3	775	515.998	310.265	14.4281
F15H10.3b	697	437.998	339.995	18.6262
F15H10.3c	697	437.998	339.995	18.6262
F15H10.3d	770	510.998	289.723	13.6046
F35G12.9	565	305.998	1975.28	154.894
F46F3.4a	2753	2494	3823.35	36.7851
F46F3.4b	2541	2282	674.868	7.09622
F46F3.4c	1807	1548	0	0
F46F3.4d	1449	1190	862.786	17.3972
VF36H2L.1	1107	847.998	1313	37.153
ZC434.6a	2375	2116	1285.99	14.583
ZC434.6b	2381	2122	670.009	7.57635
C42D8.8a	2729	2470	3450	33.5156
C42D8.8b	2723	2464	0	0
F55A12.7	1604	1345	654	11.6676
T05H10.2	1279	1020	2998	70.5271
W03G9.4.1	2097	1838	6834.93	89.2305
W03G9.4.2	2337	2078	277.066	3.19936
K04G2.8a	3894	3635	1604.37	10.5907
K04G2.8b	3900	3641	2156.63	14.2128
F02E8.3	576	316.998	560	42.3892
Y105E8A.9	3014	2755	3607	31.4158
F29G9.3	613	353.998	1620	109.809
Y71H2B.10a	3112	2853	2527.12	21.2544
Y71H2B.10b	903	643.998	213.104	7.9402
Y71H2B.10c	2496	2237	673.773	7.22723
T20B5.1.1	3372	3113	373.56	2.87942
T20B5.1.2	3297	3038	1190.44	9.40252
W09G10.4a	4130	3871	2035.94	12.6202
W09G10.4b	3417	3158	89.0598	0.676696
R11A5.1a	2926	2667	446.528	4.01744
R11A5.1b	2896	2637	3290.47	29.9414
F53H8.1	1454	1195	627	12.59
Y48G8AL.14	638	378.998	1190	75.3414
W04G3.4	2154	1895	2	0.0253248
K08D9.3	2267	2008	3409	40.7369
F32A5.5a	1026	766.998	955.67	29.8977
F32A5.5b.1	988	728.998	0	0
F32A5.5b.2	1006	746.998	823.662	26.4578
C01G6.1a.1	1189	929.998	0	0
C01G6.1a.2	1195	935.998	0	0
C01G6.1a.3	1204	944.998	0	0
C01G6.1b.1	1207	947.998	53.2005	1.34658
C01G6.1b.2	1076	816.998	0	0
C01G6.1b.3	1222	962.998	318.799	7.94358
Y69E1A.7a	1386	1127	18.973	0.403959
Y69E1A.7b	1089	829.998	22.027	0.636798
F40F9.9	1001	741.998	342	11.0598
C35A5.1	1050	790.998	0	0
C32C4.2a	741	481.998	26.5272	1.32059
C32C4.2b	870	610.998	9.47281	0.372017
C32C4.2c	876	616.998	2.536e-05	9.86257e-07
C32C4.2d	281	57.0753	0	0
M02F4.8.1	1141	881.998	1120.81	30.4922
M02F4.8.2	1237	977.998	173.187	4.24915
K02G10.7a	1022	762.998	0	0
K02G10.7b	1134	874.998	777	21.3078
K07A1.16a	830	570.998	91	3.82411
K07A1.16b	767	507.998	0	0
ZK1321.3	990	730.998	1023	33.5802
