target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1427.89	2894	63.7147
F27C8.1	1940	1552.1	171	3.46347
F07C3.7	1728	1411.12	81	1.8045
F52H2.2	1739	1464.2	553	11.873
T13A10.10a	1734	1381.7	202	4.59593
T13A10.10b	1598	1277.25	0	0
C55C2.5a	1840	1772.36	9.32062	0.165321
C55C2.5b	1606	1569.88	23.0595	0.461764
C55C2.5c	1671	1621.63	8.62989	0.167298
C55C2.5d	1618	1582.21	12.99	0.258095
T11F9.4a	1765	1405.1	0	0
T11F9.4b.1	1684	1332.33	121.308	2.86228
T11F9.4b.2	1784	1420.14	64.6923	1.43205
F54D12.3	1503	1296.27	3	0.0727547
F28F9.4	1452	1279.37	29	0.712584
Y53H1C.1a	2022	1918.6	1785.3	29.2525
Y53H1C.1b	1958	1867.94	106.512	1.79254
C50F2.9	258	89.9725	4	1.39761
C50F2.10	414	232.93	140	18.8946
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	287.636	2	0.218586
T22H6.7	646	408.934	2	0.153749
M79.1a	4081	3737.61	646.136	5.43457
M79.1b	4012	3672.95	9.86415	0.0844266
M79.1c	3997	3647.73	0	0
C24F3.5a	4715	3781.13	5.95423	0.0495038
C24F3.5b	4726	3794.31	0.0457723	0.000379232
F12B6.1a	6670	6688.48	134.286	0.631157
F12B6.1b	6559	6589	41.7143	0.199022
Y39D8C.1	5545	5612.87	572	3.20366
Y53C10A.9	4724	4074.61	9	0.0694372
AC3.3	1403	1223.74	0	0
F19G12.7	1719	1539.74	0	0
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	854.07	1	0.036808
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	1042.99	1	0.0301408
C03A7.8	1317	1199.36	0	0
C03A7.14	1525	1402.01	0	0
R09F10.2	1137	933.323	3.82848	0.128953
F35A5.3	1271	1091.74	0	0
T01D1.6	1273	1221.56	8	0.205878
W09B12.1.1	1984	1760.46	0	0
W09B12.1.2	2525	2193.27	250	3.5833
Y44E3A.2	1995	1778.16	111	1.9624
Y48B6A.8	2168	1929.35	20.628	0.33611
Y48B6A.7	1930	1750.74	0	0
C42D8.5a	3282	3047.97	45.9018	0.473428
C42D8.5b	1560	1321.52	18.5472	0.441204
ZK455.1	3072	2829.74	4597	51.0698
F54H12.1a	2709	2475.21	20210.5	256.685
F54H12.1b	2365	2137.56	59.6931	0.87789
F54H12.1c.1	2500	2285.58	1.78363	0.0245326
F54H12.1c.2	2562	2331.31	0.00536717	7.23736e-05
K11G12.2	1888	1708.74	0	0
K11G12.7	1660	1311.09	4	0.0959096
K03F8.2	1800	1360.75	22	0.508254
ZK973.5	1666	1329.73	1	0.0236413
T09A5.3	1692	1191.37	3	0.0791605
ZC504.2	1758	1360.19	7	0.161784
C40C9.2	1909	1643.59	9	0.172141
R02E12.8	1680	1387.86	4	0.0906045
D2092.3	1445	1081.14	41	1.19217
R01E6.4	1926	1644.53	15	0.286738
T05C12.2	1595	1134.16	2	0.055436
F25G6.4	1506	1162.13	23	0.622169
F25G6.3a	1797	1374.74	44	1.00616
F25G6.3b	2176	1689.57	0	0
F53E10.2a	1359	1168.3	15.741	0.423556
F53E10.2b	1616	1403.64	12.259	0.27456
F28F8.1	1617	1361.74	53	1.22354
C31H5.3a	1858	1399.28	0	0
C31H5.3b	1841	1368.3	6	0.13785
R06A4.10a	1702	1499.45	0.000191441	4.01363e-06
R06A4.10b	1693	1490.34	0.999809	0.0210896
