,gen,ext_gene,ens_gene,qval,b
323,egl-9;vhl-1,B0250.5,WBGene00007122,0.00546076056569511,-0.31089267409621896
352,egl-9;vhl-1,B0272.3,WBGene00007129,0.0013407345284292401,-0.387146840911432
1581,egl-9;vhl-1,C05C10.3,WBGene00007330,8.55508843267103e-07,-0.601849613081106
3045,egl-9;vhl-1,C16A3.10,WBGene00015814,0.0122382898478556,-3.37686036326153
7894,egl-9;vhl-1,F02A9.4,WBGene00008514,0.00042031498597710896,-0.344063775075036
7893,egl-9;vhl-1,F02A9.4,WBGene00008514,0.00148250187954663,-0.347538147490592
8453,egl-9;vhl-1,F09F7.4,WBGene00017301,0.0321627350742087,-2.18439173471872
9850,egl-9;vhl-1,F20D6.11,WBGene00017640,4.967398126212279e-09,-0.9455834230426841
13144,egl-9;vhl-1,F44E7.4,WBGene00018426,0.025744444348186003,0.26923868585941396
14417,egl-9;vhl-1,F53F10.3,WBGene00018765,0.0658105949412105,-0.8118965798706071
14424,egl-9;vhl-1,F53F4.10,WBGene00009992,0.0364140395308529,-0.22241628611509195
14587,egl-9;vhl-1,F54C8.1,WBGene00010035,0.0051546776267253,-1.05272211918915
14659,egl-9;vhl-1,F54D5.12,WBGene00010055,2.6530582563332004e-18,-0.9025424399643419
15137,egl-9;vhl-1,F56B3.11,WBGene00018934,0.00134182675648921,-0.44301567290368604
15709,egl-9;vhl-1,F58F12.1,WBGene00019061,0.0577386125332918,-0.20029790968594297
17930,egl-9;vhl-1,K09H11.1,WBGene00019599,0.0182814078325151,0.336643816659122
19512,egl-9;vhl-1,R07E5.13,WBGene00011119,1.33336656723051e-05,-0.7140336542446558
20710,egl-9;vhl-1,T02G5.7,WBGene00020166,0.000619472035503474,-0.35329730322758207
21845,egl-9;vhl-1,T10B10.4,WBGene00011681,0.0366820390122832,-0.619394758684188
26660,egl-9;vhl-1,Y38F1A.6,WBGene00012608,1.68370785760671e-05,-0.778755670021927
26661,egl-9;vhl-1,Y38F1A.6,WBGene00012608,0.0762910200804346,-0.51044903011307
26920,egl-9;vhl-1,Y39E4A.3,WBGene00012713,0.015191618703578,-0.305860796162489
27900,egl-9;vhl-1,Y48A6B.3,WBGene00012964,2.32167131805494e-05,-0.45836924235595294
28617,egl-9;vhl-1,Y53G8AL.2,WBGene00021800,0.0289942296475025,-0.22721703768032397
28774,egl-9;vhl-1,Y54F10AM.5,WBGene00021849,0.0317868412202269,-0.28150515233145396
31840,egl-9;vhl-1,ZK1320.9,WBGene00014258,4.26801522047942e-11,-0.573966012411583
32475,egl-9;vhl-1,ZK669.4,WBGene00014054,9.18749942029599e-08,-0.46163395169520705
6992,egl-9;vhl-1,acdh-1,WBGene00016943,1.19961357603185e-08,-1.04837563730278
8256,egl-9;vhl-1,acl-6,WBGene00017261,3.04049718875912e-12,0.857906863978945
23810,egl-9;vhl-1,ant-1.1,WBGene00006439,0.0744737016895136,-3.54578663244554
16699,egl-9;vhl-1,ant-1.3,WBGene00010485,1.99213851767663e-05,-1.34496845056963
20450,egl-9;vhl-1,ant-1.4,WBGene00020140,0.0310902473029991,-1.38326884422342
11799,egl-9;vhl-1,asb-1,WBGene00000206,0.0182842728167665,-0.259825232567938
15838,egl-9;vhl-1,cri-3,WBGene00010303,0.0051546776267253,-0.28046787920477
18963,egl-9;vhl-1,ctc-1,WBGene00010964,0.0749563798265198,-0.433475766832522
6928,egl-9;vhl-1,cyc-1,WBGene00000869,0.00438633605941399,-0.275888268933235
28109,egl-9;vhl-1,cyn-1,WBGene00000877,0.0200559716137342,-0.280204934938818
2803,egl-9;vhl-1,dap-3,WBGene00000933,0.00619904261219115,-0.317344301405026
24278,egl-9;vhl-1,dhod-1,WBGene00020932,0.0155729996545747,-0.261356282788516
10238,egl-9;vhl-1,dlat-1,WBGene00009082,0.0021059141396568,-0.286478342106552
4300,egl-9;vhl-1,ech-1.1,WBGene00001150,0.0478844742450886,-0.712348194711863
21632,egl-9;vhl-1,ech-1.2,WBGene00020347,0.0426764409891595,-0.24579180104536102
21205,egl-9;vhl-1,ech-6,WBGene00001155,0.0033927822340773604,-0.8072189127577929
16268,egl-9;vhl-1,fum-1,WBGene00001503,8.43057476457363e-05,0.52674667927781
16269,egl-9;vhl-1,fum-1,WBGene00001503,1.15691738161626e-05,0.480973044702815
11181,egl-9;vhl-1,glna-3,WBGene00009271,0.0523566314356825,-0.40595985975776
5838,egl-9;vhl-1,got-2.1,WBGene00016652,0.0136034187902802,-0.261149258587953
21251,egl-9;vhl-1,hpo-19,WBGene00020268,0.0020336722033027803,0.754989728072937
