target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1528	3708.82	50.5663
F27C8.1	1940	1681	352	4.36238
F07C3.7	1728	1469	139	1.97125
F52H2.2	1739	1480	696	9.79707
T13A10.10a	1734	1475	43.3824	0.612731
T13A10.10b	1598	1339	38.6176	0.600833
C55C2.5a	1840	1581	68.5087	0.90274
C55C2.5b	1606	1347	22.2551	0.3442
C55C2.5c	1671	1412	0	0
C55C2.5d	1618	1359	12.2362	0.187575
T11F9.4a	1765	1506	0	0
T11F9.4b.1	1684	1425	21	0.30701
T11F9.4b.2	1784	1525	0	0
F54D12.3	1503	1244	2	0.0334933
F28F9.4	1452	1193	19	0.331789
Y53H1C.1a	2022	1763	2379.56	28.1185
Y53H1C.1b	1958	1699	516.776	6.33662
C50F2.9	258	39.8547	14	7.31808
C50F2.10	414	155.169	294	39.4723
F54B8.5	270	44.4593	0	0
Y38H6C.22	381	123.049	0	0
T22H6.5	484	225.001	44	4.07396
T22H6.7	646	387	21	1.13046
M79.1a	4081	3822	618.126	3.36927
M79.1b	4012	3753	671.874	3.72956
M79.1c	3997	3738	0	0
C24F3.5a	4715	4456	23	0.10753
C24F3.5b	4726	4467	0	0
F12B6.1a	6670	6411	342.334	1.11243
F12B6.1b	6559	6300	34.666	0.114634
Y39D8C.1	5545	5286	707	2.78638
Y53C10A.9	4724	4465	24	0.111979
AC3.3	1403	1144	3	0.0546316
F19G12.7	1719	1460	3	0.0428072
F31A3.1	729	470	0	0
Y5H2A.3	1020	761	5	0.136878
Y105C5A.4	1008	749	2.74514	0.076354
C03A7.7	1174	915	0	0
C03A7.8	1317	1058	3.45645	0.0680603
C03A7.14	1525	1266	1.54355	0.0254001
R09F10.2	1137	878	7	0.166093
F35A5.3	1271	1012	1	0.0205858
T01D1.6	1273	1014	8	0.164362
W09B12.1.1	1984	1725	109.041	1.31689
W09B12.1.2	2525	2266	87.9593	0.808669
Y44E3A.2	1995	1736	142	1.70407
Y48B6A.8	2168	1909	22.7458	0.248224
Y48B6A.7	1930	1671	6	0.0748038
C42D8.5a	3282	3023	14.0441	0.0967844
C42D8.5b	1560	1301	5.98035	0.095763
ZK455.1	3072	2813	4124	30.542
F54H12.1a	2709	2450	33854.9	287.876
F54H12.1b	2365	2106	0	0
F54H12.1c.1	2500	2241	5.25629e-05	4.88637e-07
F54H12.1c.2	2562	2303	0	0
K11G12.2	1888	1629	6	0.0767324
K11G12.7	1660	1401	5	0.0743499
K03F8.2	1800	1541	23	0.310938
ZK973.5	1666	1407	1	0.0148066
T09A5.3	1692	1433	13	0.188993
ZC504.2	1758	1499	14	0.19457
C40C9.2	1909	1650	18	0.227267
R02E12.8	1680	1421	12	0.175928
D2092.3	1445	1186	26	0.456707
R01E6.4	1926	1667	16	0.199955
T05C12.2	1595	1336	5	0.0779672
F25G6.4	1506	1247	24	0.400953
F25G6.3a	1797	1538	72	0.97527
F25G6.3b	2176	1917	0	0
F53E10.2a	1359	1100	18.3192	0.346947
F53E10.2b	1616	1357	25.6808	0.394255
F28F8.1	1617	1358	60	0.92045
C31H5.3a	1858	1599	32	0.416918
C31H5.3b	1841	1582	0	0
R06A4.10a	1702	1443	11.6187	0.167741
R06A4.10b	1693	1434	0	0
R06A4.10c	1841	1582	11.3813	0.149877
F27B3.2	1410	1151	9	0.162898
F48E3.7	1435	1176	1	0.017715
F59B1.9	1718	1459	7	0.099952
T04C12.6.1	1264	1005	0.00363689	7.53898e-05
T04C12.6.2	1366	1107	61.9675	1.16618
T04C12.6.3	1346	1087	9697.82	185.863
T04C12.6.4	1277	1018	31711.3	648.955
T04C12.5.1	1321	1062	0.0352133	0.000690766
T04C12.5.2	1335	1076	56412.2	1092.22
T04C12.4.1	1480	1221	16764.3	286.034
T04C12.4.2	1564	1305	11667.3	186.256
T04C12.4.3	1559	1300	0	0
M03F4.2a	1672	1413	149.864	2.20954
M03F4.2b.1	1599	1340	0	0
M03F4.2b.2	1603	1344	24.6193	0.381615
M03F4.2b.3	1606	1347	35880.1	554.926
M03F4.2b.4	1596	1337	0	0
M03F4.2b.5	1541	1282	0	0
M03F4.2b.6	1576	1317	0	0
M03F4.2c	1633	1374	9.98219	0.151352
T25C8.2.1	1343	1084	0.492015	0.00945578
T25C8.2.2	1344	1085	4155.07	79.7806
F17C8.1	4068	3809	171	0.935263
C10F3.3	3343	3084	9	0.0607962
C44F1.5	4064	3805	156	0.854119
T01C2.1	3269	3010	185	1.28042
F39C12.2a	2213	1954	26.8972	0.286769
F39C12.2b	2525	2266	31.7537	0.291933
F39C12.2c	2428	2169	3.57768e-05	3.4363e-07
F39C12.2d	2049	1790	0.000171632	1.99753e-06
F39C12.2e	2611	2352	27.3488	0.242242
F57F5.4a.1	1990	1731	662.565	7.97407
F57F5.4a.2	2032	1773	39.7422	0.466973
F57F5.4b	1052	793	462.693	12.1554
C04A11.4	3227	2968	1767	12.4028
ZK154.7	2342	2083	1426	14.2619
H15N14.1c	3023	2764	2567.13	19.349
H15N14.1d	2851	2592	42.0103	0.337652
H15N14.1e	2794	2535	1257.06	10.3307
H15N14.1f	3119	2860	0	0
H15N14.1g	370	112.759	354.058	65.4142
T20H4.4	1697	1438	4292	62.1798
Y50D7A.7	1886	1627	2600	33.2916
C02B4.1	4802	4543	32	0.146742
F08C6.1a.1	3788	3529	0	0
F08C6.1a.2	3910	3651	0	0
F08C6.1b	1163	904	195.269	4.5
F08C6.1c.1	3027	2768	481.977	3.62751
F08C6.1c.2	3149	2890	94.7541	0.683044
D2030.10a	3221	2962	120	0.844005
D2030.10b	3222	2963	0	0
T14B1.2	1220	961	7	0.151748
C02H7.3a	4574	4315	43.2516	0.208819
C02H7.3b	4428	4169	119.748	0.598393
F32A7.6	1780	1521	348.524	4.77366
Y87G2A.4	946	687	158	4.79125
B0334.8	3766	3507	5287.7	31.4109
F32A6.4a	2137	1878	1415.49	15.7021
F32A6.4b	2166	1907	0	0
F32A6.4c	375	117.399	91.5144	16.2396
Y62E10A.5a	598	339	974.39	59.88
Y62E10A.5b.1	579	320	0	0
Y62E10A.5b.2	574	315	16.6104	1.09855
F09E5.13	1231	972	1653.42	35.4377
C25A1.11a	1605	1346	922.738	14.2818
C25A1.11b	1599	1340	0	0
C41G7.5a	1841	1582	0	0
C41G7.5b	1803	1544	13	0.175406
F58E10.4	1059	800	1730	45.051
K07C11.2.1	1343	1084	7786.82	149.651
K07C11.2.2	1421	1162	2443.18	43.8024
B0207.4	1121	862	4386	106.001
C25A11.4a	4737	4478	69.1489	0.321699
C25A11.4b	2842	2583	908.551	7.3278
C25A11.4c	3829	3570	0	0
C25A11.4d	4614	4355	722.162	3.45458
C25A11.4e	3084	2825	589.138	4.34457
D1022.7a.1	4264	4005	328.578	1.70917
D1022.7a.2	4305	4046	185.862	0.957002
D1022.7b.1	4279	4020	6875.16	35.6291
D1022.7b.2	4317	4058	7808.4	40.0865
D1022.7c.1	1953	1694	0	0
D1022.7c.2	1991	1732	0	0
C12D8.10a	2119	1860	10651.3	119.3
C12D8.10b	2134	1875	830.818	9.23109
C12D8.10c	1996	1737	18.3744	0.220375
F28H6.1a	2002	1743	1159	13.8527
F28H6.1b	2381	2122	0	0
F48F7.1a	4587	4328	1125.66	5.41838
F48F7.1b	4968	4709	630.339	2.78865
T07D3.7a	3247	2988	919.385	6.41011
T07D3.7b	3156	2897	3337.62	24.0014
F54D8.3a.1	1608	1349	14338.2	221.427
F54D8.3a.2	1703	1444	769.296	11.0988
F54D8.3b.1	1607	1348	86.0964	1.33059
F54D8.3b.2	1702	1443	5.90101	0.085194
F54D8.3b.3	1666	1407	16.7079	0.247386
F54D8.3b.4	1387	1128	432.805	7.99341
K04F1.15	1641	1382	0	0
F36H1.6	2866	2607	2821	22.5429
T05H4.13a.1	1583	1324	0.000112154	1.76472e-06
T05H4.13a.2	1596	1337	1637.27	25.5116
T05H4.13b.1	1910	1651	0.00760508	9.59633e-05
T05H4.13b.2	1923	1664	4075.98	51.0302
T05H4.13c.1	1669	1410	0.000150487	2.22345e-06
T05H4.13c.2	1682	1423	820.741	12.0157
T08B1.3	1379	1120	277	5.15241
F56D12.1a.1	1840	1581	5.74945e-08	7.57605e-10
F56D12.1a.2	1936	1677	0	0
F56D12.1a.3	1850	1591	2715.7	35.5599
F56D12.1b.1	1542	1283	0	0
F56D12.1b.2	1638	1379	0	0
F56D12.1b.3	1552	1293	1062.45	17.1181
F56D12.1c.1	1823	1564	0	0
F56D12.1c.2	1919	1660	0	0
F56D12.1c.3	1833	1574	107.857	1.42755
F56D12.1d.1	1660	1401	0	0
F56D12.1d.2	1936	1677	0	0
F45H10.1a.1	1748	1489	460.387	6.44135
F45H10.1a.2	1567	1308	1226.1	19.5284
F45H10.1b	872	613	792.689	26.9396
F13D12.4a.1	1789	1530	17652	240.354
F13D12.4a.2	1828	1569	4707	62.4985
F13D12.4a.3	1840	1581	62	0.816974
F13D12.4b	1824	1565	207.998	2.76881
F01F1.6.1	1832	1573	6525.23	86.4202
F01F1.6.2	1952	1693	1142.77	14.0622
C54D1.4	1656	1397	196	2.92286
F42G9.5a	2154	1895	857.102	9.42263
F42G9.5b	1588	1329	1000.9	15.6897
Y69F12A.2a.1	1587	1328	1115.94	17.5062
Y69F12A.2a.2	1656	1397	301.091	4.49004
Y69F12A.2b.1	1650	1391	8.24398	0.123469
Y69F12A.2b.2	1719	1460	2.72218	0.038843
C01F6.5	772	513	763	30.9853
F23B2.6	791	532	13570	531.394
M18.7a.1	959	700	6303.57	187.602
M18.7a.2	1093	834	1344.36	33.5813
M18.7b	1139	880	641.071	15.1765
F36A4.7	6024	5765	14324	51.7623
C05E11.4	1728	1469	155	2.19816
F49E11.3	1569	1310	5	0.0795147
M195.3	2360	2101	37	0.36688
C05E11.5	1883	1624	122	1.56503
R13G10.2	2642	2383	1442	12.6064
B0019.1	2357	2098	175	1.73773
F25C8.2a	1398	1139	89.5843	1.63854
